gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
0.00	105.10	4.19	21.27	0.00	
0.00	96.89	3.86	19.61	0.00	
0.00	90.77	3.61	18.36	0.00	
0.00	86.65	3.45	17.54	0.00	
0.00	85.53	3.41	17.31	0.00	
0.00	88.59	3.53	17.93	0.00	
0.00	95.86	3.82	19.40	0.00	
0.00	105.21	4.19	21.29	0.00	
0.00	115.54	4.60	23.38	0.00	
0.00	126.31	5.03	25.57	0.00	
0.00	136.59	5.44	27.59	0.00	
0.00	145.07	5.77	29.35	0.00	
0.00	150.04	5.98	30.35	0.00	
0.00	150.38	5.98	30.34	0.00	
0.00	143.71	5.72	29.06	0.00	
0.00	127.43	5.07	25.79	0.00	
0.00	101.48	4.03	20.54	0.00	
0.00	73.17	2.90	14.79	0.01	
0.00	52.77	2.10	10.67	0.01	
0.00	41.07	1.65	8.34	0.01	
0.00	32.07	1.32	6.56	0.02	
0.00	23.61	1.00	4.84	0.03	
0.00	16.82	0.70	3.54	0.05	
0.00	12.79	0.49	2.74	0.07	
0.00	11.06	0.39	2.39	0.09	
0.00	10.50	0.36	2.27	0.11	
0.00	10.39	0.34	2.24	0.15	
0.00	10.34	0.32	2.21	0.43	
0.00	10.04	0.33	2.13	1.09	
0.00	9.29	0.31	2.04	2.14	
0.00	8.52	0.29	1.84	3.15	
0.00	7.82	0.27	1.62	3.75	
0.00	7.25	0.26	1.41	4.14	
0.00	6.76	0.26	1.23	4.46	
0.00	6.20	0.26	0.99	4.82	
0.00	5.34	0.24	0.75	5.45	
0.00	4.17	0.22	0.57	6.28	
0.00	3.15	0.20	0.42	6.99	
0.00	2.34	0.16	0.31	7.27	
0.00	1.48	0.14	0.25	7.27	
0.00	0.81	0.10	0.20	7.27	
0.00	0.50	0.07	0.13	7.18	
0.00	0.34	0.05	0.08	6.98	
0.00	0.14	0.04	0.08	6.71	
0.00	0.04	0.03	0.04	6.61	
0.00	0.01	0.01	0.01	7.42	
0.00	0.01	0.01	0.02	9.37	
0.00	0.00	0.00	0.00	11.07	
0.00	0.34	0.02	0.04	12.82	
0.00	1.20	0.07	0.15	16.57	
0.00	2.56	0.14	0.30	18.95	
0.00	4.56	0.20	0.81	33.48	
0.00	4.84	0.21	0.88	59.62	
0.00	3.77	0.16	0.69	66.68	
0.00	0.94	0.05	0.12	50.50	
0.00	0.05	0.00	0.01	50.89	
0.00	7.44	0.29	1.50	66.47	
0.00	23.95	0.96	4.87	60.39	
0.00	45.20	1.81	9.20	36.76	
0.00	65.53	2.62	13.33	15.18	
0.00	82.87	3.31	16.86	3.81	
0.00	97.97	3.91	19.84	0.29	
0.00	112.19	4.46	22.71	0.01	
0.00	125.68	4.99	25.43	0.01	
0.00	138.58	5.50	28.03	0.01	
0.00	150.99	6.00	30.54	0.01	
0.00	162.96	6.48	32.98	0.01	
0.00	174.68	6.93	35.35	0.01	
0.00	186.66	7.42	37.78	0.01	
0.00	199.22	7.92	40.31	0.01	
0.00	211.50	8.41	42.78	0.01	
0.00	221.99	8.82	44.90	0.01	
0.00	229.96	9.14	46.50	0.01	
0.00	235.74	9.36	47.62	0.01	
0.00	239.46	9.52	48.43	0.00	
0.00	241.42	9.60	48.82	0.00	
0.00	242.18	9.63	48.98	0.00	
0.00	242.55	9.65	49.06	0.00	
0.00	243.06	9.67	49.18	0.00	
0.00	243.99	9.71	49.40	0.00	
0.00	245.48	9.76	49.61	0.00	
0.00	246.81	9.81	49.86	0.00	
0.00	247.10	9.82	49.90	0.00	
0.00	245.99	9.78	49.70	0.00	
0.00	243.89	9.71	49.34	0.00	
0.00	241.26	9.61	48.83	0.00	
0.00	237.96	9.48	48.21	0.00	
0.00	233.81	9.32	47.38	0.00	
0.00	228.67	9.11	46.32	0.00	
0.00	222.51	8.86	45.05	0.00	
0.00	215.26	8.57	43.58	0.00	
0.00	207.09	8.25	41.97	0.00	
0.00	198.17	7.89	40.10	0.00	
0.00	187.82	7.47	37.95	0.00	
0.00	175.62	6.99	35.49	0.00	
0.00	161.76	6.44	32.75	0.00	
0.00	147.05	5.86	29.76	0.00	
0.00	132.35	5.27	26.79	0.00	
0.00	119.07	4.74	24.09	0.00	
0.00	108.20	4.31	21.90	0.00	
