gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	54.45	2.20	10.99	0.23	
2.00	46.15	1.85	9.25	0.27	
3.00	39.73	1.59	7.92	0.33	
4.00	35.05	1.40	6.97	0.39	
5.00	32.06	1.27	6.37	0.45	
6.00	30.70	1.21	6.09	0.49	
7.00	30.12	1.19	5.99	0.49	
8.00	30.18	1.19	6.02	0.46	
9.00	30.78	1.22	6.15	0.41	
10.00	31.61	1.24	6.29	0.34	
11.00	32.33	1.27	6.42	0.26	
12.00	32.84	1.29	6.50	0.20	
13.00	32.91	1.30	6.50	0.16	
14.00	32.53	1.29	6.42	0.14	
15.00	31.84	1.26	6.28	0.14	
16.00	30.85	1.23	6.09	0.15	
17.00	29.59	1.19	5.85	0.16	
18.00	28.23	1.14	5.58	0.18	
19.00	26.78	1.09	5.28	0.21	
20.00	25.27	1.02	4.95	0.27	
21.00	23.62	0.96	4.63	0.36	
22.00	21.88	0.89	4.31	0.51	
23.00	20.08	0.82	3.97	0.72	
24.00	18.32	0.75	3.60	1.02	
25.00	16.57	0.68	3.24	1.40	
26.00	14.89	0.62	2.88	1.86	
27.00	13.32	0.56	2.53	2.37	
28.00	11.89	0.51	2.21	2.91	
29.00	10.57	0.46	1.92	3.45	
30.00	9.37	0.42	1.65	3.96	
31.00	8.24	0.38	1.40	4.46	
32.00	7.16	0.36	1.18	4.96	
33.00	6.14	0.33	0.99	5.43	
34.00	5.24	0.29	0.83	5.90	
35.00	4.48	0.27	0.71	6.32	
36.00	3.90	0.25	0.62	6.69	
37.00	3.47	0.23	0.56	6.97	
38.00	3.18	0.22	0.50	7.18	
39.00	2.96	0.21	0.45	7.39	
40.00	2.62	0.19	0.41	7.76	
41.00	2.05	0.16	0.34	8.72	
42.00	1.27	0.11	0.23	11.24	
43.00	0.56	0.05	0.11	16.62	
44.00	0.18	0.02	0.03	26.30	
45.00	0.04	0.00	0.01	39.63	
46.00	0.01	0.00	0.00	54.62	
47.00	0.05	0.00	0.01	65.74	
48.00	1.73	0.07	0.35	66.32	
49.00	7.84	0.31	1.57	53.90	
50.00	24.46	0.98	4.94	32.81	
51.00	50.75	2.05	10.29	14.32	
52.00	78.71	3.18	16.01	3.91	
53.00	100.40	4.04	20.40	1.61	
54.00	121.47	4.88	24.66	2.50	
55.00	173.64	6.95	35.20	3.26	
56.00	286.15	11.43	57.96	2.89	
57.00	494.51	19.72	100.12	1.14	
58.00	787.51	31.37	159.39	0.20	
59.00	1147.19	45.68	232.15	0.00	
60.00	1535.87	61.15	310.77	0.00	
61.00	1921.95	76.52	388.87	0.00	
62.00	2282.06	90.86	461.75	0.00	
63.00	2597.82	103.43	525.67	0.00	
64.00	2865.64	114.09	579.87	0.00	
65.00	3083.82	122.78	624.01	0.00	
66.00	3255.75	129.62	658.80	0.00	
67.00	3383.26	134.69	684.60	0.00	
68.00	3469.96	138.14	702.14	0.00	
69.00	3521.93	140.21	712.66	0.00	
70.00	3540.34	140.94	716.38	0.00	
71.00	3526.61	140.39	713.60	0.00	
72.00	3483.18	138.67	704.81	0.00	
73.00	3412.13	135.84	690.44	0.00	
74.00	3314.47	131.96	670.69	0.00	
75.00	3193.91	127.17	646.30	0.00	
76.00	3056.98	121.72	618.59	0.00	
77.00	2907.48	115.77	588.34	0.00	
78.00	2749.51	109.48	556.38	0.00	
79.00	2585.69	102.95	523.23	0.00	
80.00	2416.69	96.22	489.03	0.00	
81.00	2240.45	89.20	453.35	0.00	
82.00	2051.55	81.68	415.12	0.00	
83.00	1849.71	73.64	374.27	0.00	
84.00	1636.68	65.16	331.15	0.00	
85.00	1413.64	56.27	285.98	0.00	
86.00	1189.82	47.36	240.71	0.00	
87.00	975.55	38.84	197.40	0.00	
88.00	776.39	30.92	157.16	0.00	
89.00	604.36	24.08	122.38	0.00	
90.00	467.89	18.65	94.78	0.00	
91.00	357.96	14.28	72.53	0.01	
92.00	273.17	10.92	55.37	0.01	
93.00	215.51	8.63	43.70	0.01	
94.00	174.03	6.99	35.32	0.02	
95.00	141.99	5.71	28.85	0.02	
96.00	117.03	4.71	23.80	0.03	
97.00	97.76	3.93	19.87	0.04	
98.00	81.32	3.27	16.51	0.05	
99.00	67.25	2.72	13.62	0.07	
100.00	55.41	2.24	11.19	0.09	
