gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
0.00	139.57	277.56	205.75	384.84	638.92	1857.81	39.10	77.55	5.88	20.33	60.37	7.63	39.84	119.93	17.02	5.97	5.76	0.39	1.72	0.53	0.94	0.02	0.06	
0.00	63.33	122.86	85.79	155.49	291.78	747.87	20.04	35.02	3.30	11.72	24.47	3.63	27.81	57.21	10.97	5.73	6.63	0.26	2.93	0.31	1.80	0.02	0.04	
0.00	63.43	101.46	77.60	170.14	298.69	690.52	18.69	28.75	3.04	18.48	19.96	3.58	26.05	47.73	8.42	4.01	7.52	0.25	4.02	0.30	2.19	0.01	0.03	
0.00	83.88	132.73	115.46	253.34	399.55	1007.51	28.96	39.91	5.33	23.74	27.26	4.66	32.59	61.29	13.88	6.97	8.75	1.06	4.87	0.47	2.19	0.02	0.06	
0.00	224.97	352.94	296.95	562.51	1034.14	2601.60	58.41	106.12	10.63	36.92	68.18	9.10	55.33	157.92	18.55	10.95	17.13	4.05	7.78	0.95	2.48	0.03	0.28	
0.00	150.68	221.52	180.65	312.80	644.86	1574.72	33.59	68.44	6.05	24.38	42.84	6.10	44.28	98.31	10.54	6.87	11.96	5.55	6.36	0.56	2.71	0.01	0.11	
0.00	115.54	186.54	155.89	273.84	552.39	1294.03	26.58	56.19	5.45	17.01	36.56	4.99	36.85	90.56	11.55	4.97	11.49	6.60	9.81	0.47	3.48	0.01	0.14	
0.00	195.50	284.78	235.24	390.52	863.78	2013.72	42.00	90.24	7.12	29.35	59.74	8.04	58.80	124.58	20.57	8.63	15.75	7.26	12.36	0.53	4.48	0.03	0.18	
0.00	301.81	402.00	335.68	557.59	1307.78	2818.06	43.93	129.93	7.59	46.83	74.18	11.47	79.06	174.94	21.83	9.35	10.12	7.47	10.23	0.62	5.11	0.02	0.09	
0.00	228.70	304.78	256.54	449.67	1007.38	2212.40	36.26	93.16	6.71	31.84	51.38	7.91	65.89	139.21	15.04	5.34	11.48	6.83	12.45	0.66	5.77	0.01	0.02	
0.00	237.70	300.95	262.59	472.86	1043.47	2262.81	38.28	97.79	7.12	23.34	52.46	8.91	71.91	129.93	18.43	5.38	13.65	6.38	13.08	0.68	6.08	0.01	0.03	
0.00	410.13	474.29	440.39	774.40	1715.36	3769.55	72.43	155.01	13.45	53.53	77.68	13.24	110.06	203.98	25.83	7.55	14.49	5.91	12.18	1.20	6.19	0.02	0.03	
0.00	215.29	270.02	225.85	493.78	959.24	1996.70	44.57	79.55	8.65	35.19	39.86	10.08	85.28	135.13	23.64	5.24	9.42	5.49	11.96	0.79	6.19	0.02	0.02	
0.00	81.30	98.08	74.21	181.13	328.68	637.71	15.96	27.66	2.73	15.41	14.96	9.53	52.99	55.02	15.68	2.53	9.58	5.91	11.35	0.30	6.39	0.01	0.01	
0.00	104.23	78.24	76.24	192.44	301.14	629.19	15.83	24.80	3.65	19.48	16.21	9.41	57.78	38.77	12.98	3.02	10.59	5.97	11.13	0.36	6.86	0.01	0.01	
0.00	128.33	109.15	93.94	219.04	368.18	761.83	15.98	33.63	3.78	17.18	22.27	9.38	73.24	55.29	14.89	3.01	9.50	6.12	10.96	0.45	7.23	0.01	0.01	
0.00	137.18	129.25	122.98	320.40	442.15	1064.76	23.47	42.58	5.04	23.45	20.64	8.88	56.08	60.68	12.73	3.00	11.00	6.34	10.12	0.55	7.51	0.01	0.01	
0.00	99.71	106.21	96.89	232.08	334.22	824.19	17.32	34.25	3.93	18.24	21.07	9.34	41.30	49.24	13.69	3.68	12.25	5.97	9.20	0.56	7.63	0.02	0.01	
0.00	149.14	182.64	155.00	377.69	569.59	1390.76	22.75	59.29	5.26	20.87	32.79	9.77	46.94	80.22	12.99	3.92	12.88	5.59	8.67	0.80	7.54	0.02	0.02	
0.00	327.23	288.61	277.03	783.36	935.01	2439.79	57.22	96.73	10.85	53.93	42.12	10.30	102.77	127.25	15.92	5.59	18.89	5.32	9.07	1.24	7.24	0.06	0.02	
0.00	389.05	405.87	357.74	971.48	1240.81	3158.97	63.39	133.93	12.10	55.42	69.12	12.41	114.89	175.26	15.54	7.61	18.37	5.04	9.18	1.54	6.76	0.05	0.03	
0.00	313.01	320.33	286.12	797.36	1013.00	2522.87	51.75	105.11	10.07	46.38	55.49	12.02	96.90	143.08	12.35	6.61	16.82	4.72	9.29	1.38	6.21	0.03	0.02	
