gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	1598.24	63.65	323.43	0.00	
2.00	1626.99	64.79	329.22	0.00	
3.00	1642.24	65.38	332.29	0.00	
4.00	1644.74	65.49	332.87	0.00	
5.00	1635.25	65.10	330.86	0.00	
6.00	1614.27	64.27	326.63	0.00	
7.00	1582.90	63.02	320.28	0.00	
8.00	1540.28	61.34	311.71	0.00	
9.00	1487.47	59.23	301.02	0.00	
10.00	1427.54	56.84	288.88	0.00	
11.00	1361.46	54.21	275.51	0.00	
12.00	1287.03	51.24	260.38	0.00	
13.00	1199.81	47.75	242.60	0.00	
14.00	1097.20	43.68	221.98	0.00	
15.00	982.03	39.09	198.68	0.00	
16.00	859.03	34.19	173.78	0.00	
17.00	732.07	29.15	148.20	0.00	
18.00	604.01	24.06	122.30	0.00	
19.00	474.76	18.92	96.15	0.01	
20.00	345.52	13.78	70.00	0.01	
21.00	227.93	9.10	46.19	0.03	
22.00	137.36	5.49	27.83	0.08	
23.00	75.78	3.04	15.22	0.25	
24.00	38.54	1.58	7.61	0.64	
25.00	18.99	0.80	3.67	1.25	
26.00	10.33	0.48	1.89	2.13	
27.00	5.98	0.33	1.04	3.15	
28.00	3.61	0.23	0.61	4.37	
29.00	2.34	0.16	0.34	5.93	
30.00	1.41	0.12	0.21	7.75	
31.00	0.68	0.08	0.14	9.71	
32.00	0.27	0.05	0.08	11.87	
33.00	0.08	0.03	0.05	13.94	
34.00	0.02	0.01	0.01	15.54	
35.00	0.00	0.01	0.01	16.89	
36.00	0.00	0.00	0.00	18.21	
37.00	0.00	0.00	0.00	19.43	
38.00	0.00	0.00	0.00	20.52	
39.00	0.00	0.00	0.00	21.59	
40.00	0.00	0.00	0.00	22.46	
41.00	0.00	0.00	0.00	22.96	
42.00	0.00	0.00	0.00	23.24	
43.00	0.00	0.00	0.00	23.64	
44.00	0.00	0.00	0.00	24.47	
45.00	0.00	0.00	0.00	26.12	
46.00	0.10	0.01	0.01	28.38	
47.00	0.84	0.04	0.16	30.43	
48.00	1.07	0.06	0.17	27.75	
49.00	3.49	0.18	0.57	22.20	
50.00	4.11	0.21	0.73	24.38	
51.00	3.84	0.20	0.68	54.89	
52.00	2.84	0.13	0.48	104.53	
53.00	0.33	0.02	0.05	146.40	
54.00	0.00	0.00	0.00	163.28	
55.00	0.00	0.00	0.00	150.40	
56.00	0.47	0.02	0.09	120.39	
57.00	5.35	0.22	1.08	89.75	
58.00	18.74	0.76	3.80	67.49	
59.00	39.29	1.59	7.98	51.29	
60.00	63.95	2.58	12.97	38.90	
61.00	91.49	3.67	18.53	30.76	
62.00	120.81	4.83	24.46	25.13	
63.00	151.74	6.08	30.74	20.32	
64.00	184.19	7.37	37.34	15.98	
65.00	217.84	8.70	44.14	12.17	
66.00	252.31	10.07	51.13	9.24	
67.00	286.02	11.42	57.95	6.30	
68.00	319.24	12.74	64.68	3.68	
69.00	351.84	14.03	71.27	1.25	
70.00	382.88	15.27	77.52	0.12	
71.00	412.23	16.43	83.49	0.01	
72.00	440.06	17.53	89.13	0.01	
73.00	466.24	18.59	94.44	0.01	
74.00	490.57	19.57	99.37	0.01	
75.00	513.83	20.48	104.05	0.01	
76.00	537.44	21.42	108.83	0.01	
77.00	563.30	22.45	114.08	0.00	
78.00	593.40	23.64	120.17	0.00	
79.00	628.11	25.02	127.18	0.00	
80.00	664.81	26.48	134.57	0.00	
81.00	701.41	27.94	142.01	0.00	
82.00	738.18	29.40	149.45	0.00	
83.00	774.84	30.85	156.84	0.00	
84.00	810.09	32.25	163.97	0.00	
85.00	846.97	33.73	171.42	0.00	
86.00	888.64	35.39	179.87	0.00	
87.00	933.19	37.16	188.87	0.00	
88.00	977.34	38.91	197.79	0.00	
89.00	1022.28	40.70	206.83	0.00	
90.00	1070.61	42.62	216.57	0.00	
91.00	1120.85	44.62	226.77	0.00	
92.00	1170.37	46.60	236.81	0.00	
93.00	1219.71	48.56	246.76	0.00	
94.00	1271.34	50.62	257.31	0.00	
95.00	1325.75	52.78	268.27	0.00	
96.00	1383.09	55.07	279.91	0.00	
97.00	1443.27	57.45	291.99	0.00	
98.00	1502.17	59.80	303.86	0.00	
99.00	1554.81	61.90	314.57	0.00	
100.00	1597.25	63.61	323.22	0.00	
