gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
0.00	263.47	10.47	53.24	0.01	
0.00	239.83	9.54	48.51	0.01	
0.00	212.66	8.47	43.03	0.02	
0.00	182.93	7.30	37.03	0.03	
0.00	151.60	6.06	30.70	0.03	
0.00	119.96	4.79	24.31	0.03	
0.00	90.34	3.62	18.34	0.04	
0.00	64.22	2.59	13.07	0.04	
0.00	42.60	1.74	8.70	0.04	
0.00	26.78	1.11	5.51	0.05	
0.00	17.17	0.71	3.56	0.05	
0.00	12.04	0.46	2.52	0.06	
0.00	9.90	0.37	2.13	0.06	
0.00	9.29	0.36	2.09	0.06	
0.00	9.31	0.35	2.11	0.07	
0.00	9.46	0.34	2.13	0.09	
0.00	9.56	0.33	2.14	0.10	
0.00	9.54	0.32	2.14	0.13	
0.00	9.35	0.32	2.14	0.26	
0.00	9.14	0.30	2.10	0.48	
0.00	8.93	0.27	2.02	0.75	
0.00	8.70	0.26	1.94	1.08	
0.00	8.42	0.26	1.83	1.55	
0.00	8.12	0.26	1.69	2.13	
0.00	7.79	0.25	1.57	2.70	
0.00	7.42	0.26	1.44	3.22	
0.00	7.03	0.26	1.27	3.68	
0.00	6.49	0.26	1.15	4.16	
0.00	5.87	0.25	1.02	4.67	
0.00	5.32	0.24	0.89	5.19	
0.00	4.75	0.23	0.82	5.67	
0.00	4.30	0.22	0.72	6.09	
0.00	3.83	0.20	0.62	6.39	
0.00	3.34	0.18	0.50	6.57	
0.00	2.78	0.17	0.39	6.68	
0.00	2.27	0.16	0.30	6.75	
0.00	1.92	0.14	0.25	6.81	
0.00	1.66	0.13	0.21	7.01	
0.00	1.42	0.11	0.18	7.63	
0.00	0.92	0.09	0.17	9.00	
0.00	0.33	0.05	0.12	11.27	
0.00	0.02	0.02	0.02	14.03	
0.00	0.00	0.00	0.00	15.64	
0.00	0.01	0.00	0.00	14.31	
0.00	0.45	0.02	0.08	11.25	
0.00	3.46	0.14	0.68	17.67	
0.00	12.99	0.53	2.61	25.77	
0.00	24.99	1.00	5.08	23.59	
0.00	31.35	1.28	6.44	11.97	
0.00	34.99	1.43	7.16	6.90	
0.00	47.60	1.92	9.72	12.57	
0.00	56.10	2.26	11.42	22.37	
0.00	74.48	2.98	15.15	26.63	
0.00	119.03	4.73	24.15	27.63	
0.00	180.11	7.16	36.48	15.94	
0.00	232.74	9.25	47.08	3.60	
0.00	273.00	10.86	55.22	0.00	
0.00	303.66	12.08	61.38	0.00	
0.00	327.71	13.04	66.27	0.00	
0.00	344.18	13.71	69.69	0.00	
0.00	351.98	14.02	71.26	0.00	
0.00	351.66	14.00	71.15	0.00	
0.00	344.56	13.72	69.75	0.00	
0.00	333.11	13.27	67.46	0.00	
0.00	318.46	12.68	64.45	0.00	
0.00	303.66	12.09	61.45	0.00	
0.00	289.38	11.53	58.56	0.00	
0.00	275.84	10.99	55.82	0.00	
0.00	262.17	10.44	53.05	0.00	
0.00	247.84	9.87	50.15	0.00	
0.00	232.77	9.27	47.10	0.00	
0.00	216.96	8.64	43.90	0.00	
0.00	200.63	7.99	40.60	0.00	
0.00	183.57	7.31	37.15	0.00	
0.00	167.39	6.67	33.87	0.00	
0.00	153.51	6.12	31.06	0.00	
0.00	142.64	5.68	28.87	0.00	
0.00	135.03	5.38	27.32	0.00	
0.00	130.45	5.19	26.39	0.00	
0.00	128.37	5.11	25.98	0.00	
0.00	128.45	5.12	26.00	0.00	
0.00	130.68	5.20	26.46	0.00	
0.00	135.31	5.39	27.41	0.00	
0.00	143.38	5.71	29.01	0.00	
0.00	155.48	6.18	31.42	0.00	
0.00	172.03	6.85	34.80	0.00	
0.00	192.90	7.69	39.07	0.00	
0.00	216.42	8.62	43.83	0.00	
0.00	240.30	9.57	48.63	0.00	
0.00	262.75	10.46	53.18	0.00	
0.00	281.91	11.23	57.09	0.00	
0.00	295.88	11.77	59.81	0.00	
0.00	305.16	12.14	61.67	0.00	
0.00	310.35	12.34	62.74	0.00	
0.00	311.90	12.41	63.06	0.00	
0.00	309.60	12.30	62.53	0.00	
0.00	303.51	12.06	61.37	0.01	
0.00	294.12	11.69	59.51	0.01	
0.00	281.10	11.17	56.86	0.01	
0.00	264.13	10.50	53.37	0.01	
