gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
0.00	29.61	18.38	11.93	71.97	125.93	67.56	7.91	7.64	4.05	15.49	8.28	4.92	23.84	12.48	7.00	2.74	8.74	2.32	14.26	2.97	2.02	0.01	0.01	
0.00	25.89	15.16	11.80	58.43	132.23	57.49	7.87	7.05	4.42	12.74	7.16	4.18	23.23	11.93	7.11	2.83	9.20	1.19	14.16	2.98	1.93	0.01	0.01	
0.00	27.34	16.99	11.23	54.74	118.68	53.02	7.15	7.41	4.64	15.99	8.00	3.46	20.47	11.48	7.24	2.66	9.28	0.44	13.83	2.82	2.13	0.01	0.02	
0.00	24.16	13.04	8.76	41.00	111.58	42.41	9.58	7.25	4.46	14.49	7.23	2.86	22.41	12.63	7.24	2.55	8.76	0.37	13.01	2.49	2.42	0.01	0.02	
0.00	31.88	14.15	9.65	66.97	129.46	40.47	8.19	5.89	4.22	14.45	6.58	2.80	28.73	12.54	8.27	3.09	7.72	0.45	11.93	1.99	2.50	0.01	0.02	
0.00	32.03	14.57	14.33	92.48	110.77	103.65	9.79	6.90	3.98	17.25	7.59	2.92	23.87	11.23	6.84	3.40	8.56	0.32	11.29	1.50	2.24	0.01	0.02	
0.00	67.79	62.46	51.47	281.96	137.49	478.50	16.50	20.35	3.93	19.51	14.97	3.81	31.42	25.90	7.76	3.92	8.71	0.34	11.55	1.14	2.26	0.01	0.02	
0.00	37.46	27.40	12.26	90.45	125.07	80.55	10.23	9.27	2.34	19.91	10.64	3.38	30.45	13.08	9.12	4.51	9.50	0.41	11.91	0.68	2.53	0.01	0.02	
0.00	45.94	68.73	45.73	245.46	125.77	423.00	13.44	22.15	1.64	18.36	17.33	4.11	22.42	26.38	9.57	4.50	8.78	0.30	11.36	0.21	2.76	0.01	0.02	
0.00	38.82	36.34	19.71	102.02	122.79	165.13	11.01	10.84	1.11	17.07	9.83	3.78	21.81	16.91	10.62	4.69	7.49	0.31	9.09	0.21	2.10	0.01	0.03	
0.00	27.75	17.78	10.66	43.56	109.59	46.73	8.66	5.93	0.93	16.19	8.41	3.09	18.52	11.42	9.60	4.56	6.71	0.32	6.66	0.16	1.96	0.01	0.02	
0.00	35.53	25.95	11.04	64.64	128.17	53.35	7.33	7.05	0.82	18.60	11.41	2.37	27.43	15.40	10.00	4.08	5.50	0.34	5.04	0.16	2.12	0.01	0.03	
0.00	33.96	23.16	11.99	51.45	139.84	57.47	6.78	4.51	0.71	20.09	10.16	1.96	20.06	16.45	10.23	3.94	5.84	0.39	3.38	0.14	1.24	0.01	0.03	
0.00	38.17	30.83	14.05	67.13	171.35	71.98	6.86	5.56	0.82	19.53	8.59	1.53	24.21	21.79	14.09	3.75	4.62	0.45	1.72	0.17	0.50	0.01	0.03	
0.00	49.13	42.35	11.99	170.18	287.20	68.02	7.52	6.42	0.97	29.44	8.34	1.45	22.62	21.48	12.88	3.67	6.75	0.51	0.71	0.17	0.22	0.02	0.03	
0.00	54.73	37.32	14.02	178.40	335.73	84.27	7.59	6.46	0.76	32.21	8.89	1.77	27.03	21.92	11.68	3.61	7.89	0.62	0.75	0.21	0.22	0.02	0.04	
0.00	47.20	28.90	12.29	83.92	191.90	82.67	7.00	6.04	0.70	26.93	6.75	1.46	21.28	18.03	10.44	3.19	7.00	0.61	0.62	0.25	0.14	0.02	0.03	
0.00	46.13	29.83	11.83	83.46	187.42	89.33	7.03	7.23	0.86	26.64	7.13	1.68	23.94	18.60	8.85	3.13	6.75	0.79	0.48	0.30	0.16	0.03	0.03	
0.00	41.44	27.08	14.95	99.34	181.88	89.52	6.91	6.88	0.95	23.69	8.69	1.68	19.18	14.91	9.00	2.99	7.31	0.94	0.42	0.30	0.19	0.04	0.02	
0.00	51.47	29.11	15.29	101.56	262.24	109.37	7.32	9.38	0.87	26.19	8.35	1.66	25.48	14.94	7.55	3.38	7.48	0.91	0.52	0.47	0.24	0.03	0.02	
0.00	42.98	24.12	15.10	98.24	168.31	110.08	7.76	12.03	1.46	31.71	6.75	1.60	21.36	11.82	6.81	4.51	11.63	1.19	0.50	0.93	0.29	0.02	0.03	
0.00	49.22	27.32	16.49	91.88	198.76	115.59	8.66	17.63	2.62	33.34	7.87	1.59	19.83	12.00	7.16	6.59	12.30	3.01	0.48	1.63	0.28	0.04	0.03	
0.00	49.45	28.57	16.99	88.74	206.87	112.83	12.54	13.00	3.04	30.18	10.18	2.11	26.22	13.53	7.20	7.50	10.89	4.54	0.43	1.77	0.26	0.04	0.03	
0.00	58.78	27.35	14.66	140.33	222.46	108.72	15.88	13.61	2.34	51.04	11.24	2.25	26.79	13.57	8.85	7.48	13.41	4.24	0.75	2.07	0.28	0.05	0.03	
0.00	66.69	33.68	15.16	91.80	234.86	134.86	15.71	16.76	3.54	39.39	12.32	2.37	30.49	14.25	7.84	10.92	17.00	4.51	0.51	2.06	0.28	0.11	0.05	
0.00	85.33	38.14	18.53	138.06	297.72	160.47	19.45	14.52	4.24	56.05	18.24	3.90	32.58	13.86	8.15	14.68	18.06	5.26	0.81	1.97	0.33	0.21	0.05	
0.00	91.94	53.42	26.98	105.46	328.52	241.47	18.06	23.01	2.99	47.38	18.17	3.82	41.04	18.78	11.10	10.85	22.24	9.83	0.85	2.26	0.37	0.16	0.08	
0.00	97.84	77.42	42.02	197.68	321.75	404.78	15.87	31.13	3.99	49.38	21.49	4.92	46.76	28.92	10.90	11.73	20.04	14.81	0.78	2.84	0.40	0.17	0.06	
0.00	108.05	115.78	80.10	290.85	326.70	758.05	17.51	41.56	6.91	46.73	22.88	5.07	51.34	50.75	12.90	17.09	20.22	14.50	0.80	3.09	0.41	0.10	0.06	
