gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	1614.23	64.28	326.66	0.00	
2.00	1643.26	65.44	332.52	0.00	
3.00	1658.66	66.03	335.61	0.00	
4.00	1661.19	66.15	336.19	0.00	
5.00	1651.60	65.75	334.16	0.00	
6.00	1630.41	64.91	329.90	0.00	
7.00	1598.73	63.65	323.48	0.00	
8.00	1555.69	61.95	314.82	0.00	
9.00	1502.34	59.82	304.03	0.00	
10.00	1441.82	57.41	291.77	0.00	
11.00	1375.08	54.75	278.27	0.00	
12.00	1299.90	51.75	262.98	0.00	
13.00	1211.81	48.23	245.03	0.00	
14.00	1108.17	44.12	224.20	0.00	
15.00	991.85	39.48	200.67	0.00	
16.00	867.62	34.53	175.52	0.00	
17.00	739.39	29.45	149.68	0.00	
18.00	610.05	24.30	123.52	0.00	
19.00	479.51	19.11	97.11	0.01	
20.00	348.97	13.92	70.70	0.01	
21.00	230.21	9.19	46.66	0.03	
22.00	138.73	5.55	28.11	0.08	
23.00	76.54	3.07	15.37	0.25	
24.00	38.93	1.60	7.68	0.64	
25.00	19.18	0.81	3.70	1.26	
26.00	10.43	0.48	1.90	2.15	
27.00	6.04	0.34	1.05	3.18	
28.00	3.64	0.24	0.62	4.42	
29.00	2.37	0.16	0.35	5.99	
30.00	1.43	0.12	0.21	7.83	
31.00	0.69	0.08	0.14	9.80	
32.00	0.28	0.05	0.08	11.99	
33.00	0.08	0.03	0.05	14.08	
34.00	0.02	0.01	0.01	15.70	
35.00	0.00	0.01	0.01	17.06	
36.00	0.00	0.00	0.00	18.39	
37.00	0.00	0.00	0.00	19.62	
38.00	0.00	0.00	0.00	20.72	
39.00	0.00	0.00	0.00	21.81	
40.00	0.00	0.00	0.00	22.68	
41.00	0.00	0.00	0.00	23.19	
42.00	0.00	0.00	0.00	23.47	
43.00	0.00	0.00	0.00	23.88	
44.00	0.00	0.00	0.00	24.72	
45.00	0.00	0.00	0.00	26.38	
46.00	0.10	0.01	0.01	28.67	
47.00	0.85	0.04	0.17	30.73	
48.00	1.08	0.06	0.17	28.02	
49.00	3.52	0.18	0.58	22.42	
50.00	4.15	0.21	0.73	24.62	
51.00	3.88	0.20	0.68	55.44	
52.00	2.87	0.13	0.48	105.58	
53.00	0.33	0.02	0.05	147.86	
54.00	0.00	0.00	0.00	164.91	
55.00	0.00	0.00	0.00	151.90	
56.00	0.48	0.02	0.09	121.60	
57.00	5.41	0.22	1.09	90.65	
58.00	18.92	0.77	3.84	68.16	
59.00	39.68	1.60	8.06	51.80	
60.00	64.59	2.60	13.10	39.29	
61.00	92.41	3.70	18.72	31.06	
62.00	122.02	4.88	24.70	25.38	
63.00	153.25	6.14	31.05	20.53	
64.00	186.03	7.44	37.72	16.14	
65.00	220.02	8.79	44.58	12.29	
66.00	254.83	10.17	51.64	9.33	
67.00	288.88	11.53	58.53	6.37	
68.00	322.44	12.87	65.33	3.72	
69.00	355.35	14.17	71.98	1.26	
70.00	386.70	15.42	78.29	0.12	
71.00	416.35	16.59	84.32	0.01	
72.00	444.46	17.71	90.02	0.01	
73.00	470.91	18.78	95.38	0.01	
74.00	495.48	19.76	100.36	0.01	
75.00	518.97	20.68	105.09	0.01	
76.00	542.81	21.64	109.92	0.01	
77.00	568.93	22.67	115.22	0.00	
78.00	599.34	23.88	121.37	0.00	
79.00	634.39	25.27	128.45	0.00	
80.00	671.46	26.74	135.92	0.00	
81.00	708.42	28.22	143.43	0.00	
82.00	745.56	29.69	150.94	0.00	
83.00	782.59	31.16	158.40	0.00	
84.00	818.19	32.58	165.61	0.00	
85.00	855.44	34.07	173.14	0.00	
86.00	897.53	35.74	181.67	0.00	
87.00	942.52	37.53	190.76	0.00	
88.00	987.11	39.30	199.77	0.00	
89.00	1032.50	41.10	208.90	0.00	
90.00	1081.32	43.05	218.74	0.00	
91.00	1132.06	45.07	229.04	0.00	
92.00	1182.07	47.06	239.18	0.00	
93.00	1231.91	49.04	249.23	0.00	
94.00	1284.05	51.13	259.89	0.00	
95.00	1339.01	53.31	270.96	0.00	
96.00	1396.92	55.62	282.71	0.00	
97.00	1457.70	58.03	294.91	0.00	
98.00	1517.19	60.39	306.90	0.00	
99.00	1570.36	62.52	317.72	0.00	
100.00	1613.22	64.24	326.46	0.00	
