gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	2629.09	104.68	532.00	0.00	
2.00	2627.30	104.61	531.65	0.00	
3.00	2610.29	103.93	528.21	0.00	
4.00	2573.88	102.48	520.83	0.00	
5.00	2512.35	100.03	508.38	0.00	
6.00	2418.21	96.28	489.33	0.00	
7.00	2282.74	90.89	461.91	0.00	
8.00	2098.24	83.54	424.56	0.00	
9.00	1861.94	74.12	376.74	0.00	
10.00	1580.75	62.92	319.75	0.00	
11.00	1274.76	50.74	257.86	0.00	
12.00	972.89	38.73	196.85	0.00	
13.00	704.13	28.04	142.54	0.00	
14.00	489.79	19.52	99.20	0.00	
15.00	338.63	13.51	68.61	0.01	
16.00	244.37	9.77	49.51	0.01	
17.00	189.95	7.63	38.53	0.02	
18.00	156.02	6.28	31.69	0.02	
19.00	129.40	5.21	26.31	0.02	
20.00	105.35	4.23	21.43	0.03	
21.00	84.17	3.37	17.13	0.03	
22.00	67.34	2.69	13.68	0.04	
23.00	55.11	2.19	11.18	0.04	
24.00	46.70	1.82	9.45	0.05	
25.00	40.89	1.56	8.24	0.05	
26.00	36.54	1.40	7.37	0.06	
27.00	32.99	1.28	6.63	0.08	
28.00	29.73	1.15	5.93	0.10	
29.00	26.50	1.04	5.28	0.13	
30.00	23.37	0.92	4.59	0.19	
31.00	20.34	0.81	3.91	0.27	
32.00	17.44	0.72	3.27	0.41	
33.00	14.70	0.62	2.68	0.61	
34.00	12.12	0.55	2.17	0.94	
35.00	9.82	0.47	1.61	1.41	
36.00	7.62	0.40	1.18	2.11	
37.00	5.45	0.34	0.86	2.86	
38.00	3.59	0.27	0.57	3.78	
39.00	2.19	0.19	0.34	5.03	
40.00	1.22	0.12	0.20	6.68	
41.00	0.65	0.08	0.14	8.58	
42.00	0.41	0.05	0.08	10.48	
43.00	0.26	0.04	0.06	12.37	
44.00	0.13	0.02	0.04	15.00	
45.00	0.05	0.02	0.02	19.84	
46.00	0.01	0.00	0.01	28.15	
47.00	0.01	0.00	0.00	38.24	
48.00	0.42	0.02	0.06	43.14	
49.00	1.71	0.08	0.29	35.53	
50.00	3.83	0.20	0.60	21.40	
51.00	6.97	0.31	1.26	31.21	
52.00	3.21	0.16	0.58	83.32	
53.00	0.36	0.02	0.08	166.61	
54.00	0.01	0.00	0.00	223.21	
55.00	0.77	0.03	0.16	204.18	
56.00	10.13	0.40	2.05	122.85	
57.00	46.55	1.88	9.40	40.94	
58.00	123.20	4.96	25.00	7.93	
59.00	212.28	8.50	43.04	1.32	
60.00	297.76	11.89	60.32	0.21	
61.00	379.39	15.13	76.87	0.01	
62.00	458.48	18.28	92.88	0.00	
63.00	534.72	21.31	108.30	0.00	
64.00	607.38	24.20	122.98	0.00	
65.00	676.06	26.92	136.84	0.00	
66.00	740.99	29.51	150.00	0.00	
67.00	802.62	31.96	162.45	0.00	
68.00	860.73	34.27	174.21	0.00	
69.00	915.17	36.44	185.20	0.00	
70.00	965.54	38.44	195.39	0.00	
71.00	1011.87	40.29	204.74	0.00	
72.00	1054.81	41.99	213.40	0.00	
73.00	1095.06	43.60	221.57	0.00	
74.00	1133.28	45.12	229.27	0.00	
75.00	1170.07	46.58	236.78	0.00	
76.00	1206.48	48.03	244.10	0.00	
77.00	1243.20	49.49	251.51	0.00	
78.00	1281.10	50.99	259.13	0.00	
79.00	1321.54	52.61	267.31	0.00	
80.00	1366.38	54.39	276.34	0.00	
81.00	1417.35	56.43	286.78	0.00	
82.00	1475.48	58.75	298.60	0.00	
83.00	1540.62	61.33	311.68	0.00	
84.00	1611.20	64.14	325.97	0.00	
85.00	1685.74	67.10	341.03	0.00	
86.00	1762.94	70.19	356.72	0.00	
87.00	1842.35	73.35	372.77	0.00	
88.00	1923.73	76.59	389.24	0.00	
89.00	2006.77	79.90	406.05	0.00	
90.00	2090.65	83.24	423.03	0.00	
91.00	2174.25	86.57	439.96	0.00	
92.00	2256.33	89.83	456.57	0.00	
93.00	2335.06	92.97	472.50	0.00	
94.00	2407.79	95.86	487.22	0.00	
95.00	2471.78	98.42	500.17	0.00	
96.00	2525.13	100.54	510.97	0.00	
97.00	2567.23	102.22	519.48	0.00	
98.00	2598.59	103.47	525.83	0.00	
99.00	2619.93	104.32	530.15	0.00	
100.00	2631.17	104.76	532.42	0.00	
