gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
0.00	143.68	285.72	211.80	396.16	657.71	1912.45	40.25	79.83	6.05	20.93	62.14	7.86	41.01	123.45	17.52	6.14	5.93	0.40	1.77	0.55	0.96	0.02	0.06	
0.00	65.19	126.47	88.31	160.07	300.36	769.86	20.63	36.05	3.39	12.06	25.19	3.73	28.63	58.89	11.29	5.90	6.83	0.27	3.02	0.32	1.86	0.02	0.04	
0.00	65.29	104.45	79.88	175.14	307.48	710.83	19.24	29.59	3.13	19.03	20.55	3.68	26.82	49.14	8.66	4.13	7.74	0.25	4.14	0.31	2.26	0.01	0.03	
0.00	86.34	136.63	118.85	260.79	411.31	1037.14	29.81	41.08	5.49	24.44	28.06	4.80	33.54	63.10	14.29	7.18	9.00	1.09	5.01	0.49	2.25	0.02	0.07	
0.00	231.59	363.33	305.69	579.05	1064.55	2678.11	60.12	109.24	10.94	38.01	70.18	9.37	56.96	162.56	19.09	11.27	17.64	4.17	8.00	0.98	2.55	0.03	0.29	
0.00	155.11	228.03	185.97	322.00	663.83	1621.04	34.58	70.45	6.22	25.10	44.10	6.28	45.58	101.20	10.85	7.07	12.31	5.71	6.55	0.58	2.79	0.01	0.12	
0.00	118.94	192.02	160.47	281.89	568.64	1332.09	27.36	57.84	5.61	17.51	37.64	5.14	37.94	93.22	11.88	5.12	11.83	6.80	10.10	0.48	3.58	0.01	0.15	
0.00	201.25	293.15	242.16	402.01	889.18	2072.95	43.24	92.89	7.33	30.21	61.50	8.27	60.53	128.24	21.17	8.88	16.22	7.47	12.73	0.55	4.62	0.03	0.19	
0.00	310.69	413.82	345.55	573.99	1346.24	2900.95	45.22	133.75	7.81	48.21	76.37	11.81	81.39	180.08	22.47	9.63	10.42	7.69	10.53	0.64	5.26	0.02	0.09	
0.00	235.43	313.75	264.08	462.90	1037.01	2277.47	37.32	95.90	6.91	32.77	52.90	8.15	67.83	143.31	15.48	5.50	11.82	7.03	12.82	0.68	5.94	0.01	0.02	
