gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
0.00	92.37	3.68	18.70	0.00	
0.00	90.12	3.59	18.24	0.00	
0.00	88.83	3.54	17.98	0.00	
0.00	89.07	3.55	18.03	0.00	
0.00	92.56	3.69	18.73	0.00	
0.00	101.95	4.06	20.63	0.00	
0.00	118.88	4.73	24.06	0.00	
0.00	141.64	5.65	28.69	0.00	
0.00	165.74	6.60	33.56	0.00	
0.00	184.29	7.36	37.44	0.00	
0.00	190.12	7.57	38.47	0.00	
0.00	179.02	7.12	36.14	0.00	
0.00	151.83	6.04	30.70	0.00	
0.00	114.11	4.54	23.11	0.00	
0.00	76.12	3.02	15.42	0.00	
0.00	50.68	2.01	10.25	0.01	
0.00	44.68	1.79	9.01	0.01	
0.00	47.93	1.92	9.66	0.01	
0.00	50.02	2.00	10.12	0.01	
0.00	47.64	1.93	9.67	0.02	
0.00	41.17	1.70	8.41	0.02	
0.00	32.85	1.36	6.73	0.03	
0.00	24.80	1.05	5.11	0.03	
0.00	18.25	0.77	3.80	0.06	
0.00	14.09	0.57	2.93	0.07	
0.00	12.10	0.45	2.54	0.08	
0.00	11.22	0.40	2.41	0.10	
0.00	10.66	0.37	2.35	0.14	
0.00	10.20	0.35	2.25	0.21	
0.00	9.79	0.35	2.20	0.42	
0.00	9.54	0.33	2.14	0.72	
0.00	9.24	0.30	2.10	1.10	
0.00	8.91	0.28	1.97	1.60	
0.00	8.54	0.27	1.76	2.22	
0.00	7.94	0.28	1.57	2.96	
0.00	6.99	0.27	1.30	3.82	
0.00	5.93	0.26	1.06	4.61	
0.00	4.90	0.24	0.75	5.25	
0.00	3.82	0.21	0.46	5.83	
0.00	2.78	0.18	0.32	6.23	
0.00	1.95	0.15	0.30	6.52	
0.00	1.58	0.12	0.20	6.91	
0.00	1.13	0.10	0.16	7.78	
0.00	0.62	0.07	0.13	9.45	
0.00	0.24	0.05	0.09	11.90	
0.00	0.03	0.02	0.04	13.85	
0.00	0.04	0.00	0.01	13.93	
0.00	1.55	0.08	0.24	16.15	
0.00	5.01	0.20	0.91	19.61	
0.00	5.65	0.24	1.02	26.04	
0.00	8.65	0.33	1.73	52.65	
0.00	6.22	0.27	1.19	83.68	
0.00	1.40	0.08	0.27	83.24	
0.00	0.07	0.00	0.01	54.93	
0.00	3.20	0.13	0.65	64.23	
0.00	25.81	1.03	5.24	76.12	
0.00	61.21	2.45	12.45	56.76	
0.00	92.89	3.69	18.84	24.16	
0.00	111.46	4.43	22.57	9.59	
0.00	127.23	5.05	25.81	1.60	
0.00	143.56	5.70	29.06	0.01	
0.00	161.17	6.41	32.61	0.00	
0.00	180.90	7.19	36.58	0.00	
0.00	202.81	8.07	41.02	0.00	
0.00	225.91	8.98	45.63	0.00	
0.00	248.50	9.88	50.21	0.00	
0.00	269.30	10.71	54.40	0.00	
0.00	287.19	11.42	58.03	0.00	
0.00	302.39	12.03	61.08	0.00	
0.00	314.83	12.52	63.64	0.00	
0.00	324.07	12.90	65.53	0.00	
0.00	329.36	13.11	66.59	0.00	
0.00	330.23	13.14	66.76	0.00	
0.00	326.53	13.00	66.02	0.00	
0.00	318.47	12.67	64.41	0.00	
0.00	306.48	12.20	61.97	0.00	
0.00	291.36	11.60	58.94	0.00	
0.00	274.11	10.91	55.45	0.00	
0.00	256.50	10.22	51.91	0.00	
0.00	240.88	9.60	48.80	0.00	
0.00	229.11	9.13	46.36	0.00	
0.00	221.19	8.82	44.79	0.00	
0.00	215.76	8.61	43.78	0.00	
0.00	211.26	8.41	42.78	0.00	
0.00	205.87	8.20	41.72	0.00	
0.00	199.41	7.93	40.30	0.00	
0.00	192.00	7.64	38.85	0.00	
0.00	184.39	7.34	37.34	0.00	
0.00	176.57	7.03	35.75	0.00	
0.00	167.83	6.69	33.97	0.00	
0.00	157.57	6.27	31.89	0.00	
0.00	145.96	5.81	29.54	0.00	
0.00	133.80	5.33	27.08	0.00	
0.00	122.24	4.87	24.74	0.00	
0.00	112.60	4.48	22.80	0.00	
0.00	105.83	4.21	21.43	0.00	
0.00	101.58	4.05	20.56	0.00	
0.00	98.55	3.93	19.95	0.00	
0.00	95.88	3.82	19.41	0.00	
0.00	93.57	3.73	18.94	0.00	
