gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	2069.87	82.41	418.84	0.00	
2.00	2081.67	82.88	421.23	0.00	
3.00	2078.71	82.76	420.63	0.00	
4.00	2059.13	81.98	416.66	0.00	
5.00	2022.23	80.51	409.20	0.00	
6.00	1969.53	78.41	398.53	0.00	
7.00	1899.22	75.61	384.30	0.00	
8.00	1811.93	72.14	366.63	0.00	
9.00	1706.57	67.94	345.29	0.00	
10.00	1578.45	62.84	319.37	0.00	
11.00	1424.57	56.72	288.25	0.00	
12.00	1245.91	49.61	252.12	0.00	
13.00	1049.96	41.80	212.46	0.00	
14.00	846.93	33.72	171.42	0.00	
15.00	648.85	25.85	131.38	0.00	
16.00	466.80	18.61	94.54	0.00	
17.00	313.31	12.50	63.47	0.01	
18.00	198.61	7.95	40.26	0.02	
19.00	124.43	4.99	25.26	0.05	
20.00	81.22	3.26	16.48	0.12	
21.00	57.04	2.30	11.47	0.27	
22.00	42.57	1.72	8.52	0.52	
23.00	33.37	1.35	6.70	0.93	
24.00	26.91	1.09	5.43	1.38	
25.00	21.73	0.88	4.37	1.87	
26.00	17.53	0.70	3.47	2.34	
27.00	14.23	0.59	2.79	2.81	
28.00	11.67	0.51	2.15	3.36	
29.00	9.47	0.44	1.64	4.02	
30.00	7.35	0.36	1.29	4.69	
31.00	5.39	0.29	0.97	5.38	
32.00	3.73	0.22	0.65	6.44	
33.00	2.48	0.15	0.40	8.04	
34.00	1.47	0.11	0.24	9.93	
35.00	0.80	0.07	0.13	11.86	
36.00	0.41	0.04	0.07	13.65	
37.00	0.15	0.03	0.05	15.12	
38.00	0.03	0.02	0.03	16.34	
39.00	0.01	0.01	0.01	17.40	
40.00	0.00	0.00	0.00	18.37	
41.00	0.00	0.00	0.00	19.29	
42.00	0.00	0.00	0.00	20.18	
43.00	0.00	0.00	0.00	21.09	
44.00	0.00	0.00	0.00	22.56	
45.00	0.00	0.00	0.00	25.80	
46.00	0.00	0.00	0.00	30.98	
47.00	0.33	0.02	0.06	35.34	
48.00	1.40	0.07	0.26	34.24	
49.00	2.37	0.12	0.43	26.67	
50.00	4.60	0.22	0.79	25.73	
51.00	5.13	0.24	0.85	46.65	
52.00	2.07	0.11	0.32	91.46	
53.00	0.45	0.03	0.06	145.27	
54.00	0.03	0.00	0.00	174.36	
55.00	0.03	0.00	0.01	164.92	
56.00	1.92	0.08	0.38	128.95	
57.00	9.84	0.40	1.99	89.09	
58.00	24.18	0.98	4.91	54.83	
59.00	45.93	1.85	9.26	29.67	
60.00	76.51	3.06	15.47	15.82	
61.00	112.20	4.50	22.76	9.29	
62.00	149.59	5.99	30.36	6.13	
63.00	186.82	7.47	37.88	3.68	
64.00	224.50	8.98	45.49	2.13	
65.00	262.96	10.51	53.26	1.56	
66.00	302.55	12.07	61.27	1.43	
67.00	343.99	13.73	69.69	1.27	
68.00	387.70	15.47	78.54	1.02	
69.00	433.09	17.27	87.72	0.76	
70.00	479.32	19.10	97.06	0.58	
71.00	525.27	20.94	106.38	0.50	
72.00	570.93	22.75	115.56	0.41	
73.00	616.87	24.58	124.88	0.21	
74.00	664.51	26.48	134.53	0.01	
75.00	714.46	28.46	144.63	0.01	
76.00	766.32	30.52	155.09	0.00	
77.00	820.20	32.66	165.98	0.00	
78.00	875.53	34.87	177.23	0.00	
79.00	931.11	37.07	188.43	0.00	
80.00	985.52	39.23	199.40	0.00	
81.00	1037.98	41.33	210.06	0.00	
82.00	1088.89	43.36	220.41	0.00	
83.00	1139.84	45.38	230.61	0.00	
84.00	1191.27	47.44	241.07	0.00	
85.00	1243.49	49.51	251.60	0.00	
86.00	1296.95	51.63	262.38	0.00	
87.00	1352.71	53.86	273.75	0.00	
88.00	1411.82	56.21	285.67	0.00	
89.00	1474.00	58.68	298.25	0.00	
90.00	1538.70	61.26	311.31	0.00	
91.00	1605.16	63.90	324.74	0.00	
92.00	1672.55	66.58	338.34	0.00	
93.00	1739.36	69.25	351.93	0.00	
94.00	1804.37	71.84	365.10	0.00	
95.00	1865.52	74.27	377.47	0.00	
96.00	1920.80	76.48	388.67	0.00	
97.00	1970.64	78.46	398.74	0.00	
98.00	2014.42	80.20	407.62	0.00	
99.00	2050.70	81.64	414.96	0.00	
100.00	2077.39	82.71	420.36	0.00	
