gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
0.00	106.13	4.23	21.48	0.00	
0.00	97.84	3.90	19.80	0.00	
0.00	91.66	3.65	18.54	0.00	
0.00	87.50	3.49	17.71	0.00	
0.00	86.37	3.44	17.48	0.00	
0.00	89.46	3.56	18.11	0.00	
0.00	96.80	3.85	19.59	0.00	
0.00	106.24	4.23	21.50	0.00	
0.00	116.68	4.65	23.61	0.00	
0.00	127.55	5.08	25.82	0.00	
0.00	137.93	5.49	27.86	0.00	
0.00	146.49	5.83	29.63	0.00	
0.00	151.52	6.04	30.65	0.00	
0.00	151.86	6.04	30.64	0.00	
0.00	145.12	5.78	29.34	0.00	
0.00	128.68	5.12	26.05	0.00	
0.00	102.47	4.07	20.74	0.00	
0.00	73.89	2.92	14.94	0.01	
0.00	53.29	2.12	10.77	0.01	
0.00	41.47	1.67	8.43	0.01	
0.00	32.39	1.34	6.62	0.02	
0.00	23.84	1.01	4.89	0.03	
0.00	16.98	0.71	3.57	0.05	
0.00	12.92	0.49	2.76	0.07	
0.00	11.16	0.40	2.41	0.10	
0.00	10.60	0.36	2.29	0.11	
0.00	10.49	0.34	2.26	0.16	
0.00	10.44	0.32	2.23	0.43	
0.00	10.14	0.33	2.15	1.11	
0.00	9.39	0.32	2.06	2.16	
0.00	8.61	0.29	1.86	3.18	
0.00	7.90	0.27	1.64	3.78	
0.00	7.32	0.26	1.43	4.18	
0.00	6.82	0.26	1.24	4.50	
0.00	6.26	0.26	1.00	4.87	
0.00	5.39	0.24	0.76	5.51	
0.00	4.21	0.22	0.57	6.35	
0.00	3.18	0.20	0.43	7.05	
0.00	2.36	0.16	0.31	7.34	
0.00	1.49	0.14	0.25	7.34	
0.00	0.82	0.10	0.20	7.34	
0.00	0.51	0.07	0.13	7.25	
0.00	0.34	0.05	0.08	7.05	
0.00	0.14	0.04	0.08	6.78	
0.00	0.04	0.03	0.04	6.68	
0.00	0.01	0.01	0.01	7.49	
0.00	0.01	0.01	0.02	9.46	
0.00	0.00	0.00	0.00	11.18	
0.00	0.35	0.02	0.04	12.95	
0.00	1.21	0.07	0.15	16.73	
0.00	2.59	0.14	0.30	19.14	
0.00	4.60	0.21	0.82	33.81	
0.00	4.88	0.21	0.89	60.20	
0.00	3.81	0.16	0.69	67.33	
0.00	0.95	0.05	0.12	50.99	
0.00	0.05	0.00	0.01	51.38	
0.00	7.51	0.29	1.52	67.12	
0.00	24.18	0.97	4.92	60.98	
0.00	45.64	1.83	9.29	37.12	
0.00	66.18	2.65	13.46	15.33	
0.00	83.69	3.34	17.02	3.85	
0.00	98.93	3.95	20.03	0.29	
0.00	113.29	4.51	22.93	0.02	
0.00	126.92	5.04	25.67	0.01	
0.00	139.94	5.56	28.30	0.01	
0.00	152.47	6.06	30.84	0.01	
0.00	164.55	6.54	33.31	0.01	
0.00	176.39	7.00	35.69	0.01	
0.00	188.49	7.49	38.15	0.01	
0.00	201.18	8.00	40.70	0.01	
0.00	213.58	8.49	43.20	0.01	
0.00	224.17	8.90	45.34	0.01	
0.00	232.21	9.23	46.96	0.01	
0.00	238.05	9.45	48.09	0.01	
0.00	241.81	9.61	48.91	0.00	
0.00	243.78	9.69	49.30	0.00	
0.00	244.55	9.73	49.46	0.00	
0.00	244.93	9.75	49.54	0.00	
0.00	245.44	9.76	49.66	0.00	
0.00	246.38	9.81	49.88	0.00	
0.00	247.89	9.86	50.10	0.00	
0.00	249.23	9.91	50.35	0.00	
0.00	249.53	9.92	50.38	0.00	
0.00	248.40	9.87	50.19	0.00	
0.00	246.28	9.80	49.82	0.00	
0.00	243.62	9.70	49.31	0.00	
0.00	240.29	9.57	48.68	0.00	
0.00	236.10	9.41	47.84	0.00	
0.00	230.91	9.20	46.77	0.00	
0.00	224.69	8.95	45.49	0.00	
0.00	217.37	8.65	44.01	0.00	
0.00	209.12	8.33	42.38	0.00	
0.00	200.11	7.96	40.49	0.00	
0.00	189.66	7.54	38.32	0.00	
0.00	177.34	7.05	35.84	0.00	
0.00	163.35	6.51	33.07	0.00	
0.00	148.49	5.91	30.05	0.00	
0.00	133.65	5.32	27.05	0.00	
0.00	120.23	4.79	24.33	0.00	
0.00	109.26	4.35	22.11	0.00	
