gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	1336.22	53.19	270.30	0.00	
2.00	1350.34	53.76	273.19	0.00	
3.00	1348.55	53.70	272.88	0.00	
4.00	1331.27	53.00	269.39	0.00	
5.00	1306.99	52.03	264.40	0.00	
6.00	1268.60	50.50	256.62	0.00	
7.00	1210.57	48.20	244.98	0.00	
8.00	1150.33	45.77	232.53	0.00	
9.00	1096.55	43.64	221.79	0.00	
10.00	1052.47	41.89	212.87	0.00	
11.00	1015.89	40.44	205.58	0.00	
12.00	984.54	39.21	199.29	0.00	
13.00	956.14	38.06	193.39	0.00	
14.00	931.81	37.09	188.48	0.00	
15.00	909.44	36.21	184.00	0.00	
16.00	885.37	35.25	179.20	0.00	
17.00	856.87	34.12	173.43	0.00	
18.00	822.30	32.73	166.34	0.00	
19.00	788.03	31.38	159.53	0.00	
20.00	752.08	29.95	152.25	0.00	
21.00	705.50	28.10	142.80	0.00	
22.00	643.38	25.63	130.25	0.00	
23.00	567.48	22.61	114.87	0.01	
24.00	476.56	18.99	96.46	0.03	
25.00	376.34	15.02	76.19	0.51	
26.00	277.48	11.10	56.13	0.98	
27.00	195.58	7.83	39.53	2.00	
28.00	141.37	5.68	28.54	4.07	
29.00	103.23	4.18	20.81	6.94	
30.00	69.48	2.82	13.97	9.28	
31.00	46.74	1.92	9.45	10.54	
32.00	26.89	1.11	5.50	12.64	
33.00	10.19	0.42	2.07	15.43	
34.00	1.72	0.07	0.34	18.46	
35.00	0.00	0.00	0.00	20.49	
36.00	0.00	0.00	0.00	21.57	
37.00	0.00	0.00	0.00	22.21	
38.00	0.00	0.00	0.00	22.88	
39.00	0.00	0.00	0.00	23.49	
40.00	0.00	0.00	0.00	23.95	
41.00	0.00	0.00	0.00	24.24	
42.00	0.00	0.00	0.00	24.54	
43.00	0.00	0.00	0.00	24.90	
44.00	0.00	0.00	0.00	25.26	
45.00	0.10	0.01	0.02	24.78	
46.00	1.86	0.08	0.36	22.58	
47.00	4.82	0.21	0.89	18.53	
48.00	5.88	0.25	1.09	23.80	
49.00	2.76	0.14	0.45	52.86	
50.00	2.23	0.10	0.45	97.58	
51.00	1.96	0.09	0.36	120.62	
52.00	0.67	0.03	0.09	141.62	
53.00	0.38	0.02	0.04	161.92	
54.00	0.00	0.00	0.00	171.60	
55.00	0.56	0.03	0.11	169.58	
56.00	3.17	0.13	0.65	166.35	
57.00	5.74	0.24	1.18	160.34	
58.00	8.89	0.36	1.78	151.51	
59.00	12.92	0.52	2.61	142.36	
60.00	18.36	0.74	3.73	131.43	
61.00	23.96	0.96	4.87	117.24	
62.00	28.55	1.15	5.77	100.95	
63.00	35.86	1.43	7.25	87.81	
64.00	45.65	1.85	9.23	74.84	
65.00	58.42	2.34	11.83	63.99	
66.00	73.95	2.96	14.99	53.69	
67.00	91.43	3.70	18.55	41.81	
68.00	111.26	4.47	22.57	32.73	
69.00	135.40	5.45	27.48	26.27	
70.00	164.60	6.60	33.40	22.07	
71.00	197.44	7.90	40.06	19.08	
72.00	232.62	9.31	47.15	16.05	
73.00	268.55	10.74	54.39	13.38	
74.00	304.67	12.16	61.73	12.20	
75.00	340.39	13.57	68.95	10.63	
76.00	379.88	15.15	76.95	9.30	
77.00	420.14	16.76	85.13	8.75	
78.00	460.35	18.36	93.27	8.51	
79.00	501.11	19.96	101.48	8.26	
80.00	538.30	21.44	108.98	7.53	
81.00	572.40	22.81	115.91	6.41	
82.00	611.22	24.35	123.70	5.65	
83.00	653.42	26.02	132.27	4.49	
84.00	692.91	27.59	140.19	1.56	
85.00	734.30	29.25	148.68	0.01	
86.00	779.09	31.02	157.67	0.00	
87.00	827.09	32.94	167.41	0.00	
88.00	875.52	34.85	177.11	0.00	
89.00	920.60	36.65	186.31	0.00	
90.00	963.72	38.36	194.98	0.00	
91.00	1005.68	40.04	203.56	0.00	
92.00	1053.30	41.94	213.21	0.00	
93.00	1104.89	43.99	223.55	0.00	
94.00	1147.43	45.68	232.22	0.00	
95.00	1179.62	46.96	238.66	0.00	
96.00	1208.42	48.11	244.46	0.00	
97.00	1242.12	49.45	251.35	0.00	
98.00	1279.00	50.91	258.79	0.00	
99.00	1304.97	51.95	264.00	0.00	
100.00	1323.72	52.69	267.79	0.00	
