gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	5.04	0.26	0.79	16.25	
2.00	7.47	0.35	1.27	11.89	
3.00	3.80	0.17	0.77	64.28	
4.00	0.46	0.02	0.08	160.80	
5.00	0.00	0.00	0.00	232.55	
6.00	0.15	0.01	0.03	221.58	
7.00	6.09	0.25	1.24	138.80	
8.00	38.35	1.56	7.74	52.67	
9.00	104.51	4.21	21.19	10.48	
10.00	185.84	7.45	37.72	1.46	
11.00	264.88	10.58	53.64	0.01	
12.00	340.92	13.60	69.08	0.01	
13.00	414.17	16.51	83.90	0.01	
14.00	483.99	19.29	98.04	0.00	
15.00	549.82	21.91	111.34	0.00	
16.00	611.78	24.37	123.89	0.00	
17.00	670.60	26.71	135.78	0.00	
18.00	726.90	28.95	147.15	0.00	
19.00	780.89	31.09	158.03	0.00	
20.00	831.97	33.13	168.40	0.00	
21.00	879.86	35.03	178.03	0.00	
22.00	924.40	36.81	187.05	0.00	
23.00	966.25	38.46	195.45	0.00	
24.00	1005.95	40.05	203.54	0.00	
25.00	1044.43	41.58	211.31	0.00	
26.00	1082.54	43.09	218.99	0.00	
27.00	1120.80	44.62	226.78	0.00	
28.00	1159.52	46.15	234.53	0.00	
29.00	1198.84	47.71	242.48	0.00	
30.00	1239.90	49.35	250.75	0.00	
31.00	1284.34	51.12	259.79	0.00	
32.00	1334.14	53.11	269.93	0.00	
33.00	1390.95	55.37	281.42	0.00	
34.00	1455.23	57.94	294.45	0.00	
35.00	1526.48	60.76	308.80	0.00	
36.00	1602.57	63.80	324.24	0.00	
37.00	1682.35	66.97	340.38	0.00	
38.00	1765.01	70.27	357.15	0.00	
39.00	1850.02	73.65	374.33	0.00	
40.00	1936.86	77.11	391.89	0.00	
41.00	2024.62	80.61	409.67	0.00	
42.00	2112.10	84.09	427.36	0.00	
43.00	2197.76	87.51	444.71	0.00	
44.00	2280.14	90.78	461.39	0.00	
45.00	2356.94	93.84	476.93	0.00	
46.00	2425.28	96.56	490.76	0.00	
47.00	2482.56	98.84	502.36	0.00	
48.00	2528.23	100.66	511.60	0.00	
49.00	2562.99	102.05	518.62	0.00	
50.00	2587.70	103.03	523.63	0.00	
51.00	2602.25	103.61	526.56	0.00	
52.00	2604.85	103.72	527.10	0.00	
53.00	2592.63	103.23	524.62	0.00	
54.00	2561.43	101.99	518.31	0.00	
55.00	2505.58	99.76	507.01	0.00	
56.00	2417.31	96.24	489.15	0.00	
57.00	2289.21	91.14	463.23	0.00	
58.00	2113.99	84.16	427.76	0.00	
59.00	1888.47	75.18	382.11	0.00	
60.00	1618.56	64.44	327.47	0.00	
61.00	1321.54	52.60	267.27	0.00	
62.00	1022.35	40.70	206.85	0.00	
63.00	749.43	29.85	151.71	0.00	
64.00	524.71	20.91	106.26	0.00	
65.00	361.26	14.41	73.21	0.01	
66.00	255.19	10.20	51.71	0.01	
67.00	192.31	7.71	39.00	0.01	
68.00	154.93	6.24	31.47	0.02	
69.00	127.91	5.15	26.00	0.02	
70.00	104.53	4.20	21.27	0.03	
71.00	83.83	3.34	17.05	0.03	
72.00	66.65	2.67	13.55	0.04	
73.00	53.65	2.13	10.90	0.04	
74.00	44.72	1.74	9.03	0.04	
75.00	38.70	1.47	7.78	0.05	
76.00	34.47	1.32	6.96	0.07	
77.00	31.19	1.20	6.25	0.08	
78.00	28.17	1.11	5.61	0.10	
79.00	25.21	0.99	4.96	0.12	
80.00	22.24	0.89	4.33	0.16	
81.00	19.36	0.77	3.72	0.23	
82.00	16.53	0.69	3.14	0.37	
83.00	13.92	0.58	2.52	0.61	
84.00	11.34	0.51	1.96	0.94	
85.00	8.86	0.43	1.38	1.44	
86.00	6.40	0.37	0.98	2.19	
87.00	4.32	0.29	0.63	3.22	
88.00	2.78	0.21	0.39	4.55	
89.00	1.67	0.15	0.27	6.02	
90.00	0.92	0.10	0.17	7.54	
91.00	0.47	0.06	0.13	9.15	
92.00	0.30	0.04	0.07	10.68	
93.00	0.20	0.03	0.04	12.21	
94.00	0.08	0.02	0.04	14.43	
95.00	0.01	0.01	0.01	19.13	
96.00	0.00	0.00	0.00	28.32	
97.00	0.00	0.00	0.00	40.91	
98.00	0.03	0.00	0.01	48.26	
99.00	1.01	0.05	0.16	37.92	
100.00	5.72	0.28	0.97	14.92	
