gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	1297.30	51.64	262.43	0.00	
2.00	1311.01	52.19	265.23	0.00	
3.00	1309.28	52.14	264.93	0.00	
4.00	1292.50	51.46	261.54	0.00	
5.00	1268.92	50.51	256.70	0.00	
6.00	1231.65	49.03	249.14	0.00	
7.00	1175.31	46.79	237.84	0.00	
8.00	1116.82	44.44	225.76	0.00	
9.00	1064.61	42.37	215.33	0.00	
10.00	1021.82	40.67	206.67	0.00	
11.00	986.30	39.27	199.59	0.00	
12.00	955.86	38.06	193.49	0.00	
13.00	928.29	36.95	187.76	0.00	
14.00	904.67	36.01	182.99	0.00	
15.00	882.95	35.15	178.64	0.00	
16.00	859.59	34.23	173.98	0.00	
17.00	831.91	33.12	168.38	0.00	
18.00	798.35	31.78	161.50	0.00	
19.00	765.07	30.46	154.88	0.00	
20.00	730.18	29.08	147.81	0.00	
21.00	684.95	27.28	138.64	0.00	
22.00	624.64	24.88	126.45	0.00	
23.00	550.95	21.95	111.52	0.01	
24.00	462.68	18.44	93.66	0.03	
25.00	365.38	14.58	73.97	0.50	
26.00	269.40	10.77	54.50	0.95	
27.00	189.88	7.60	38.37	1.94	
28.00	137.25	5.51	27.71	3.95	
29.00	100.23	4.06	20.20	6.74	
30.00	67.46	2.73	13.56	9.01	
31.00	45.38	1.87	9.17	10.23	
32.00	26.11	1.07	5.34	12.27	
33.00	9.89	0.41	2.01	14.98	
34.00	1.67	0.07	0.33	17.92	
35.00	0.00	0.00	0.00	19.90	
36.00	0.00	0.00	0.00	20.94	
37.00	0.00	0.00	0.00	21.56	
38.00	0.00	0.00	0.00	22.21	
39.00	0.00	0.00	0.00	22.80	
40.00	0.00	0.00	0.00	23.25	
41.00	0.00	0.00	0.00	23.53	
42.00	0.00	0.00	0.00	23.83	
43.00	0.00	0.00	0.00	24.17	
44.00	0.00	0.00	0.00	24.52	
45.00	0.10	0.01	0.02	24.06	
46.00	1.80	0.08	0.34	21.92	
47.00	4.68	0.20	0.86	17.99	
48.00	5.71	0.24	1.06	23.11	
49.00	2.68	0.13	0.43	51.32	
50.00	2.17	0.10	0.44	94.74	
51.00	1.90	0.09	0.35	117.11	
52.00	0.65	0.03	0.09	137.49	
53.00	0.37	0.02	0.04	157.20	
54.00	0.00	0.00	0.00	166.60	
55.00	0.54	0.03	0.11	164.64	
56.00	3.08	0.13	0.63	161.50	
57.00	5.57	0.23	1.14	155.67	
58.00	8.63	0.35	1.73	147.10	
59.00	12.54	0.50	2.53	138.21	
60.00	17.83	0.72	3.62	127.60	
61.00	23.27	0.94	4.73	113.83	
62.00	27.72	1.12	5.60	98.01	
63.00	34.81	1.38	7.04	85.25	
64.00	44.32	1.79	8.96	72.66	
65.00	56.72	2.27	11.48	62.12	
66.00	71.79	2.88	14.56	52.13	
67.00	88.77	3.59	18.01	40.59	
68.00	108.02	4.34	21.91	31.78	
69.00	131.45	5.29	26.68	25.50	
70.00	159.81	6.40	32.43	21.42	
71.00	191.69	7.67	38.89	18.53	
72.00	225.84	9.04	45.78	15.58	
73.00	260.73	10.43	52.80	12.99	
74.00	295.79	11.80	59.94	11.84	
75.00	330.47	13.18	66.94	10.32	
76.00	368.81	14.71	74.71	9.03	
77.00	407.90	16.27	82.65	8.50	
78.00	446.94	17.82	90.55	8.26	
79.00	486.51	19.38	98.52	8.02	
80.00	522.62	20.82	105.81	7.31	
81.00	555.73	22.15	112.53	6.23	
82.00	593.41	23.64	120.10	5.48	
83.00	634.39	25.27	128.41	4.36	
84.00	672.73	26.79	136.11	1.52	
85.00	712.92	28.40	144.35	0.01	
86.00	756.40	30.12	153.08	0.00	
87.00	803.00	31.98	162.53	0.00	
88.00	850.02	33.84	171.95	0.00	
89.00	893.79	35.59	180.88	0.00	
90.00	935.65	37.25	189.30	0.00	
91.00	976.39	38.88	197.63	0.00	
92.00	1022.62	40.72	207.00	0.00	
93.00	1072.71	42.71	217.04	0.00	
94.00	1114.01	44.35	225.46	0.00	
95.00	1145.26	45.59	231.71	0.00	
96.00	1173.22	46.71	237.34	0.00	
97.00	1205.94	48.01	244.03	0.00	
98.00	1241.75	49.43	251.25	0.00	
99.00	1266.97	50.43	256.31	0.00	
100.00	1285.17	51.16	259.99	0.00	
