gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	2708.10	107.84	548.00	0.00	
2.00	2705.78	107.75	547.53	0.00	
3.00	2687.78	107.03	543.89	0.00	
4.00	2651.18	105.57	536.48	0.00	
5.00	2590.75	103.16	524.25	0.00	
6.00	2499.06	99.50	505.69	0.00	
7.00	2366.96	94.24	478.95	0.00	
8.00	2185.67	87.02	442.27	0.00	
9.00	1951.02	77.68	394.78	0.00	
10.00	1668.71	66.44	337.66	0.00	
11.00	1356.83	54.02	274.54	0.00	
12.00	1042.84	41.52	211.01	0.00	
13.00	756.55	30.13	153.14	0.00	
14.00	522.14	20.81	105.75	0.00	
15.00	351.52	14.02	71.22	0.01	
16.00	241.70	9.67	48.98	0.01	
17.00	176.45	7.09	35.81	0.02	
18.00	136.23	5.49	27.70	0.02	
19.00	106.66	4.30	21.72	0.02	
20.00	82.37	3.32	16.77	0.03	
21.00	63.58	2.55	12.93	0.04	
22.00	51.00	2.01	10.34	0.05	
23.00	43.32	1.69	8.75	0.05	
24.00	38.44	1.49	7.74	0.06	
25.00	34.63	1.34	6.94	0.07	
26.00	31.07	1.19	6.17	0.10	
27.00	27.55	1.06	5.44	0.19	
28.00	24.16	0.94	4.77	0.32	
29.00	21.05	0.83	4.15	0.49	
30.00	18.32	0.74	3.57	0.72	
31.00	15.90	0.65	3.04	1.03	
32.00	13.67	0.58	2.53	1.40	
33.00	11.60	0.51	2.01	1.83	
34.00	9.53	0.46	1.58	2.31	
35.00	7.53	0.41	1.18	2.85	
36.00	5.71	0.35	0.83	3.53	
37.00	4.10	0.29	0.61	4.41	
38.00	2.90	0.23	0.47	5.46	
39.00	2.09	0.17	0.34	6.62	
40.00	1.39	0.13	0.25	7.78	
41.00	0.80	0.09	0.16	9.00	
42.00	0.41	0.06	0.11	10.37	
43.00	0.19	0.04	0.06	11.95	
44.00	0.08	0.02	0.03	14.19	
45.00	0.02	0.01	0.01	18.26	
46.00	0.00	0.00	0.00	25.45	
47.00	0.00	0.00	0.00	35.22	
48.00	0.13	0.01	0.03	42.83	
49.00	1.13	0.06	0.21	41.35	
50.00	3.93	0.18	0.73	30.83	
51.00	6.70	0.29	1.26	26.39	
52.00	5.81	0.25	1.10	53.33	
53.00	3.12	0.14	0.59	123.07	
54.00	1.11	0.04	0.22	207.15	
55.00	0.16	0.01	0.03	254.07	
56.00	0.38	0.02	0.07	232.56	
57.00	6.01	0.24	1.20	155.92	
58.00	28.81	1.16	5.84	70.64	
59.00	77.74	3.13	15.78	17.20	
60.00	146.75	5.90	29.79	1.57	
61.00	215.26	8.62	43.65	0.02	
62.00	274.67	10.97	55.67	0.01	
63.00	325.14	12.97	65.89	0.01	
64.00	367.67	14.67	74.50	0.01	
65.00	403.53	16.10	81.76	0.00	
66.00	434.36	17.31	87.98	0.00	
67.00	461.59	18.39	93.48	0.00	
68.00	486.01	19.37	98.45	0.00	
69.00	508.08	20.25	102.91	0.00	
70.00	527.98	21.04	106.94	0.00	
71.00	546.17	21.76	110.61	0.00	
72.00	563.45	22.45	114.10	0.00	
73.00	580.88	23.14	117.63	0.00	
74.00	599.31	23.88	121.37	0.00	
75.00	619.50	24.68	125.44	0.00	
76.00	642.45	25.59	130.07	0.00	
77.00	669.48	26.67	135.54	0.00	
78.00	702.27	27.97	142.18	0.00	
79.00	742.57	29.57	150.32	0.00	
80.00	792.23	31.55	160.35	0.00	
81.00	853.50	33.98	172.73	0.00	
82.00	928.45	36.96	187.87	0.00	
83.00	1018.67	40.55	206.11	0.00	
84.00	1124.66	44.78	227.57	0.00	
85.00	1244.96	49.57	251.94	0.00	
86.00	1376.09	54.79	278.44	0.00	
87.00	1513.26	60.24	306.12	0.00	
88.00	1651.52	65.75	334.11	0.00	
89.00	1787.45	71.16	361.66	0.00	
90.00	1919.19	76.41	388.33	0.00	
91.00	2045.71	81.45	413.94	0.00	
92.00	2166.38	86.25	438.37	0.00	
93.00	2280.31	90.79	461.42	0.00	
94.00	2385.52	94.98	482.71	0.00	
95.00	2479.04	98.70	501.63	0.00	
96.00	2557.92	101.85	517.60	0.00	
97.00	2620.21	104.33	530.21	0.00	
98.00	2665.33	106.13	539.34	0.00	
99.00	2693.81	107.27	545.11	0.00	
100.00	2706.74	107.78	547.72	0.00	
