gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
0.00	209.75	8.35	42.44	0.00	
0.00	192.37	7.66	38.93	0.00	
0.00	178.80	7.12	36.19	0.00	
0.00	170.27	6.78	34.46	0.00	
0.00	167.92	6.69	33.98	0.00	
0.00	170.22	6.78	34.45	0.00	
0.00	174.04	6.93	35.22	0.00	
0.00	178.21	7.10	36.07	0.00	
0.00	182.20	7.25	36.87	0.00	
0.00	186.56	7.43	37.75	0.00	
0.00	192.49	7.67	38.96	0.00	
0.00	197.94	7.89	40.12	0.00	
0.00	199.98	7.96	40.46	0.00	
0.00	196.56	7.82	39.75	0.00	
0.00	186.15	7.40	37.64	0.00	
0.00	166.53	6.62	33.69	0.00	
0.00	136.16	5.41	27.54	0.01	
0.00	100.74	4.00	20.39	0.04	
0.00	74.28	2.98	15.05	0.15	
0.00	58.88	2.38	11.98	0.52	
0.00	48.70	1.95	10.04	1.07	
0.00	40.27	1.60	8.30	1.77	
0.00	33.51	1.33	6.89	2.57	
0.00	27.72	1.09	5.68	3.22	
0.00	22.24	0.87	4.55	3.85	
0.00	17.63	0.67	3.60	4.43	
0.00	14.26	0.53	2.92	4.92	
0.00	11.97	0.45	2.45	5.45	
0.00	10.35	0.40	2.12	6.02	
0.00	9.06	0.34	1.79	6.54	
0.00	7.77	0.30	1.47	6.90	
0.00	6.34	0.27	1.14	7.17	
0.00	4.94	0.22	0.79	7.43	
0.00	3.60	0.20	0.54	7.74	
0.00	2.54	0.15	0.32	7.78	
0.00	1.53	0.12	0.22	7.49	
0.00	0.61	0.08	0.19	7.17	
0.00	0.12	0.05	0.13	6.88	
0.00	0.02	0.02	0.03	6.47	
0.00	0.01	0.01	0.00	5.87	
0.00	0.00	0.00	0.00	5.29	
0.00	0.00	0.00	0.00	5.02	
0.00	0.00	0.00	0.00	5.09	
0.00	0.00	0.00	0.00	5.79	
0.00	0.00	0.00	0.00	7.29	
0.00	0.00	0.00	0.00	7.65	
0.00	1.55	0.06	0.30	9.00	
0.00	4.66	0.20	0.87	13.97	
0.00	5.06	0.21	1.01	15.75	
0.00	5.79	0.23	1.13	36.62	
0.00	6.36	0.27	1.25	68.11	
0.00	3.59	0.16	0.61	82.40	
0.00	1.68	0.09	0.23	67.94	
0.00	0.19	0.01	0.02	45.53	
0.00	0.17	0.01	0.03	48.16	
0.00	6.12	0.25	1.24	57.68	
0.00	25.36	1.02	5.15	54.30	
0.00	52.52	2.11	10.68	45.76	
0.00	81.30	3.25	16.50	37.41	
0.00	107.28	4.28	21.76	29.20	
0.00	130.44	5.20	26.44	22.97	
0.00	151.87	6.06	30.77	17.80	
0.00	173.46	6.90	35.14	13.65	
0.00	195.28	7.76	39.56	10.93	
0.00	217.04	8.63	43.99	10.12	
0.00	239.03	9.51	48.39	9.56	
0.00	261.74	10.40	52.94	8.50	
0.00	284.92	11.32	57.63	6.86	
0.00	308.72	12.27	62.42	5.08	
0.00	333.25	13.25	67.39	3.88	
0.00	357.84	14.24	72.43	3.32	
0.00	380.84	15.14	76.96	2.72	
0.00	400.01	15.91	80.90	1.38	
0.00	414.91	16.49	83.90	0.07	
0.00	426.03	16.94	86.17	0.02	
0.00	433.43	17.24	87.64	0.01	
0.00	437.81	17.41	88.51	0.00	
0.00	440.42	17.52	89.09	0.00	
0.00	442.84	17.62	89.57	0.00	
0.00	445.70	17.73	90.12	0.00	
0.00	447.73	17.82	90.55	0.00	
0.00	447.66	17.82	90.58	0.00	
0.00	446.05	17.75	90.19	0.00	
0.00	443.44	17.65	89.69	0.00	
0.00	439.55	17.50	88.89	0.00	
0.00	433.51	17.25	87.66	0.00	
0.00	425.60	16.94	86.08	0.00	
0.00	417.23	16.61	84.43	0.00	
0.00	409.74	16.31	82.92	0.00	
0.00	402.23	16.02	81.42	0.00	
0.00	392.28	15.62	79.43	0.00	
0.00	378.14	15.07	76.67	0.00	
0.00	360.65	14.36	73.00	0.00	
0.00	341.06	13.58	69.01	0.00	
0.00	320.45	12.76	64.84	0.00	
0.00	299.04	11.90	60.50	0.00	
0.00	277.39	11.05	56.14	0.00	
0.00	256.10	10.20	51.84	0.00	
0.00	235.40	9.38	47.65	0.00	
0.00	215.91	8.60	43.69	0.00	
