gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
0.00	260.83	10.36	52.71	0.01	
0.00	237.43	9.44	48.03	0.01	
0.00	210.53	8.38	42.60	0.02	
0.00	181.10	7.23	36.66	0.03	
0.00	150.09	6.00	30.39	0.03	
0.00	118.76	4.74	24.07	0.03	
0.00	89.43	3.59	18.16	0.04	
0.00	63.58	2.57	12.93	0.04	
0.00	42.17	1.72	8.61	0.04	
0.00	26.51	1.10	5.45	0.05	
0.00	17.00	0.70	3.52	0.05	
0.00	11.92	0.46	2.49	0.06	
0.00	9.80	0.37	2.11	0.06	
0.00	9.20	0.36	2.07	0.06	
0.00	9.22	0.35	2.08	0.07	
0.00	9.36	0.34	2.11	0.08	
0.00	9.46	0.33	2.11	0.10	
0.00	9.44	0.32	2.12	0.13	
0.00	9.26	0.32	2.12	0.25	
0.00	9.04	0.29	2.08	0.47	
0.00	8.84	0.27	2.00	0.74	
0.00	8.61	0.26	1.92	1.07	
0.00	8.34	0.25	1.81	1.54	
0.00	8.04	0.25	1.67	2.11	
0.00	7.71	0.25	1.55	2.67	
0.00	7.34	0.26	1.43	3.18	
0.00	6.96	0.26	1.26	3.64	
0.00	6.43	0.26	1.14	4.11	
0.00	5.82	0.25	1.01	4.62	
0.00	5.27	0.24	0.88	5.13	
0.00	4.71	0.23	0.81	5.62	
0.00	4.25	0.21	0.71	6.03	
0.00	3.79	0.20	0.61	6.33	
0.00	3.31	0.18	0.50	6.51	
0.00	2.75	0.16	0.38	6.61	
0.00	2.25	0.16	0.30	6.69	
0.00	1.90	0.14	0.25	6.74	
0.00	1.64	0.12	0.21	6.94	
0.00	1.40	0.11	0.18	7.55	
0.00	0.91	0.09	0.17	8.91	
0.00	0.33	0.05	0.12	11.16	
0.00	0.02	0.02	0.02	13.89	
0.00	0.00	0.00	0.00	15.49	
0.00	0.01	0.00	0.00	14.17	
0.00	0.45	0.02	0.08	11.14	
0.00	3.43	0.14	0.67	17.49	
0.00	12.86	0.52	2.58	25.51	
0.00	24.74	0.99	5.03	23.35	
0.00	31.03	1.27	6.37	11.85	
0.00	34.64	1.42	7.09	6.83	
0.00	47.13	1.90	9.62	12.44	
0.00	55.54	2.23	11.30	22.14	
0.00	73.73	2.95	15.00	26.36	
0.00	117.84	4.69	23.91	27.36	
0.00	178.31	7.09	36.12	15.78	
0.00	230.41	9.16	46.61	3.56	
0.00	270.27	10.75	54.67	0.00	
0.00	300.62	11.96	60.77	0.00	
0.00	324.43	12.91	65.61	0.00	
0.00	340.74	13.57	69.00	0.00	
0.00	348.46	13.88	70.54	0.00	
0.00	348.14	13.86	70.44	0.00	
0.00	341.12	13.59	69.05	0.00	
0.00	329.78	13.14	66.78	0.00	
0.00	315.28	12.56	63.80	0.00	
0.00	300.62	11.97	60.84	0.00	
0.00	286.49	11.41	57.98	0.00	
0.00	273.08	10.88	55.26	0.00	
0.00	259.55	10.34	52.52	0.00	
0.00	245.36	9.77	49.65	0.00	
0.00	230.44	9.18	46.63	0.00	
0.00	214.79	8.56	43.47	0.00	
0.00	198.62	7.91	40.19	0.00	
0.00	181.74	7.24	36.78	0.00	
0.00	165.72	6.60	33.54	0.00	
0.00	151.97	6.06	30.75	0.00	
0.00	141.22	5.63	28.58	0.00	
0.00	133.68	5.33	27.05	0.00	
0.00	129.15	5.14	26.12	0.00	
0.00	127.08	5.06	25.72	0.00	
0.00	127.17	5.06	25.74	0.00	
0.00	129.38	5.15	26.20	0.00	
0.00	133.96	5.33	27.14	0.00	
0.00	141.95	5.65	28.72	0.00	
0.00	153.92	6.12	31.11	0.00	
0.00	170.31	6.78	34.45	0.00	
0.00	190.97	7.61	38.68	0.00	
0.00	214.25	8.54	43.39	0.00	
0.00	237.90	9.48	48.14	0.00	
0.00	260.12	10.36	52.65	0.00	
0.00	279.10	11.12	56.51	0.00	
0.00	292.92	11.66	59.22	0.00	
0.00	302.11	12.02	61.05	0.00	
0.00	307.24	12.22	62.11	0.00	
0.00	308.78	12.28	62.43	0.00	
0.00	306.51	12.18	61.90	0.00	
0.00	300.48	11.94	60.76	0.01	
0.00	291.17	11.58	58.91	0.01	
0.00	278.29	11.06	56.29	0.01	
0.00	261.49	10.39	52.84	0.01	
