gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	40.15	1.57	8.03	0.08	
2.00	33.11	1.29	6.56	0.11	
3.00	28.04	1.10	5.50	0.15	
4.00	24.53	0.97	4.77	0.22	
5.00	22.20	0.88	4.29	0.28	
6.00	20.88	0.84	4.02	0.32	
7.00	20.40	0.82	3.91	0.33	
8.00	20.47	0.82	3.94	0.31	
9.00	20.95	0.84	4.05	0.27	
10.00	21.70	0.86	4.19	0.22	
11.00	22.35	0.88	4.31	0.18	
12.00	22.62	0.89	4.37	0.15	
13.00	22.50	0.89	4.34	0.14	
14.00	22.01	0.87	4.22	0.14	
15.00	21.21	0.84	4.04	0.15	
16.00	20.35	0.81	3.81	0.17	
17.00	19.44	0.78	3.63	0.19	
18.00	18.54	0.75	3.42	0.21	
19.00	17.54	0.73	3.22	0.24	
20.00	16.33	0.69	2.97	0.30	
21.00	14.87	0.65	2.66	0.37	
22.00	13.22	0.61	2.31	0.48	
23.00	11.44	0.57	1.95	0.65	
24.00	9.67	0.50	1.57	0.91	
25.00	8.02	0.44	1.26	1.36	
26.00	6.49	0.39	1.01	1.94	
27.00	5.13	0.34	0.78	2.66	
28.00	3.93	0.29	0.60	3.53	
29.00	2.91	0.24	0.45	4.50	
30.00	2.06	0.19	0.35	5.56	
31.00	1.43	0.15	0.27	6.72	
32.00	0.98	0.11	0.20	7.92	
33.00	0.66	0.08	0.16	9.11	
34.00	0.45	0.06	0.11	10.27	
35.00	0.33	0.05	0.09	11.37	
36.00	0.27	0.04	0.06	12.37	
37.00	0.22	0.03	0.05	13.24	
38.00	0.16	0.03	0.04	13.94	
39.00	0.11	0.02	0.03	14.66	
40.00	0.07	0.02	0.02	15.67	
41.00	0.04	0.01	0.01	17.49	
42.00	0.01	0.00	0.01	21.10	
43.00	0.00	0.00	0.00	27.74	
44.00	0.00	0.00	0.00	38.12	
45.00	0.00	0.00	0.00	52.26	
46.00	0.00	0.00	0.00	67.62	
47.00	0.10	0.00	0.02	76.37	
48.00	1.26	0.05	0.24	71.61	
49.00	7.12	0.29	1.41	48.91	
50.00	23.59	0.94	4.75	21.39	
51.00	47.84	1.92	9.70	5.93	
52.00	58.81	2.37	11.93	5.46	
53.00	51.71	2.09	10.48	15.61	
54.00	43.26	1.75	8.74	25.77	
55.00	65.25	2.64	13.21	19.34	
56.00	182.32	7.29	36.95	6.54	
57.00	399.94	15.95	81.02	2.08	
58.00	702.09	27.97	142.13	0.86	
59.00	1050.83	41.84	212.63	0.00	
60.00	1415.74	56.36	286.46	0.00	
61.00	1770.50	70.49	358.25	0.00	
62.00	2099.11	83.57	424.75	0.00	
63.00	2390.33	95.17	483.67	0.00	
64.00	2639.88	105.11	534.19	0.00	
65.00	2840.62	113.10	574.81	0.00	
66.00	2999.70	119.44	607.00	0.00	
67.00	3120.89	124.26	631.52	0.00	
68.00	3206.65	127.67	648.87	0.00	
69.00	3262.03	129.88	660.08	0.00	
70.00	3290.26	131.00	665.79	0.00	
71.00	3293.83	131.14	666.51	0.00	
72.00	3274.55	130.38	662.61	0.00	
73.00	3232.30	128.69	654.07	0.00	
74.00	3165.31	126.03	640.51	0.00	
75.00	3077.14	122.52	622.67	0.00	
76.00	2970.26	118.27	601.04	0.00	
77.00	2847.39	113.38	576.17	0.00	
78.00	2712.72	108.01	548.92	0.00	
79.00	2571.54	102.39	520.35	0.00	
80.00	2426.61	96.62	491.03	0.00	
81.00	2278.13	90.70	460.97	0.00	
82.00	2124.24	84.57	429.83	0.00	
83.00	1959.43	78.02	396.49	0.00	
84.00	1781.69	70.94	360.52	0.00	
85.00	1591.21	63.35	321.97	0.00	
86.00	1388.85	55.30	281.00	0.00	
87.00	1179.45	46.95	238.63	0.00	
88.00	974.74	38.81	197.24	0.00	
89.00	782.97	31.18	158.49	0.00	
90.00	609.89	24.30	123.50	0.00	
91.00	462.76	18.45	93.73	0.00	
92.00	349.61	13.95	70.83	0.01	
93.00	261.74	10.47	53.05	0.01	
94.00	194.89	7.82	39.54	0.02	
95.00	145.52	5.87	29.59	0.02	
96.00	111.14	4.48	22.63	0.03	
97.00	85.75	3.46	17.46	0.03	
98.00	66.14	2.65	13.44	0.05	
99.00	51.25	2.03	10.35	0.06	
100.00	40.23	1.57	8.05	0.08	
