gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	2107.40	83.90	426.44	0.00	
2.00	2141.38	85.26	433.31	0.00	
3.00	2163.97	86.16	437.88	0.00	
4.00	2174.10	86.56	439.93	0.00	
5.00	2169.29	86.37	438.96	0.00	
6.00	2145.73	85.43	434.19	0.00	
7.00	2098.04	83.53	424.55	0.00	
8.00	2021.98	80.50	409.14	0.00	
9.00	1914.60	76.23	387.42	0.00	
10.00	1773.50	70.61	358.86	0.00	
11.00	1597.84	63.62	323.33	0.00	
12.00	1390.84	55.38	281.44	0.00	
13.00	1162.95	46.29	235.29	0.00	
14.00	929.35	37.00	188.04	0.00	
15.00	705.01	28.08	142.73	0.00	
16.00	504.08	20.08	102.07	0.00	
17.00	340.50	13.58	68.97	0.01	
18.00	222.71	8.91	45.15	0.01	
19.00	147.20	5.92	29.91	0.02	
20.00	101.35	4.09	20.64	0.02	
21.00	72.37	2.91	14.74	0.03	
22.00	53.29	2.12	10.82	0.04	
23.00	41.09	1.60	8.26	0.05	
24.00	33.69	1.30	6.75	0.07	
25.00	29.14	1.13	5.83	0.08	
26.00	25.83	1.00	5.17	0.10	
27.00	22.86	0.90	4.53	0.13	
28.00	19.88	0.79	3.89	0.20	
29.00	17.02	0.70	3.28	0.42	
30.00	14.63	0.59	2.67	0.89	
31.00	12.49	0.52	2.18	1.37	
32.00	10.50	0.47	1.80	1.70	
33.00	8.69	0.43	1.43	1.96	
34.00	6.88	0.39	1.12	2.29	
35.00	5.21	0.32	0.79	2.86	
36.00	3.75	0.25	0.53	3.85	
37.00	2.59	0.19	0.39	5.21	
38.00	1.62	0.15	0.28	6.65	
39.00	0.96	0.10	0.18	8.13	
40.00	0.53	0.07	0.12	9.72	
41.00	0.24	0.05	0.08	11.34	
42.00	0.10	0.03	0.04	13.00	
43.00	0.05	0.02	0.02	14.50	
44.00	0.02	0.01	0.02	15.70	
45.00	0.01	0.01	0.01	16.96	
46.00	0.00	0.00	0.00	19.46	
47.00	0.01	0.00	0.01	24.66	
48.00	0.00	0.00	0.00	32.03	
49.00	0.06	0.01	0.01	36.79	
50.00	0.22	0.02	0.03	32.93	
51.00	1.17	0.08	0.16	23.46	
52.00	2.59	0.15	0.42	27.33	
53.00	2.55	0.12	0.41	60.98	
54.00	1.05	0.05	0.18	118.33	
55.00	0.16	0.01	0.02	165.49	
56.00	0.01	0.00	0.00	170.65	
57.00	1.32	0.06	0.27	130.53	
58.00	9.15	0.37	1.83	73.72	
59.00	29.40	1.18	5.94	29.10	
60.00	62.78	2.53	12.72	7.21	
61.00	103.57	4.18	20.99	0.89	
62.00	145.57	5.83	29.53	0.06	
63.00	185.69	7.44	37.67	0.02	
64.00	222.95	8.92	45.21	0.01	
65.00	256.92	10.27	52.07	0.01	
66.00	287.39	11.47	58.23	0.01	
67.00	314.91	12.57	63.81	0.01	
68.00	340.31	13.58	68.95	0.01	
69.00	364.87	14.55	73.92	0.01	
70.00	389.81	15.54	78.96	0.01	
71.00	415.57	16.57	84.20	0.01	
72.00	441.99	17.62	89.54	0.00	
73.00	468.66	18.68	94.93	0.00	
74.00	495.71	19.75	100.36	0.00	
75.00	523.36	20.85	105.98	0.00	
76.00	552.39	22.01	111.86	0.00	
77.00	583.68	23.25	118.19	0.00	
78.00	617.96	24.62	125.12	0.00	
79.00	655.52	26.11	132.73	0.00	
80.00	696.56	27.75	141.06	0.00	
81.00	741.30	29.52	150.05	0.00	
82.00	789.80	31.45	159.83	0.00	
83.00	842.13	33.53	170.40	0.00	
84.00	898.29	35.76	181.75	0.00	
85.00	958.08	38.14	193.87	0.00	
86.00	1021.53	40.67	206.73	0.00	
87.00	1088.91	43.35	220.34	0.00	
88.00	1160.36	46.19	234.79	0.00	
89.00	1235.78	49.19	250.04	0.00	
90.00	1314.85	52.35	266.04	0.00	
91.00	1397.79	55.65	282.82	0.00	
92.00	1484.55	59.10	300.35	0.00	
93.00	1574.79	62.69	318.62	0.00	
94.00	1667.84	66.40	337.49	0.00	
95.00	1761.48	70.13	356.44	0.00	
96.00	1851.23	73.70	374.58	0.00	
97.00	1932.96	76.96	391.13	0.00	
98.00	2003.99	79.78	405.50	0.00	
99.00	2063.00	82.14	417.45	0.00	
100.00	2109.89	84.00	426.94	0.00	
