gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	2498.94	99.50	505.66	0.00	
2.00	2497.23	99.43	505.33	0.00	
3.00	2481.07	98.79	502.07	0.00	
4.00	2446.46	97.41	495.05	0.00	
5.00	2387.98	95.08	483.21	0.00	
6.00	2298.50	91.52	465.11	0.00	
7.00	2169.73	86.39	439.05	0.00	
8.00	1994.36	79.40	403.55	0.00	
9.00	1769.77	70.45	358.09	0.00	
10.00	1502.50	59.81	303.92	0.00	
11.00	1211.65	48.22	245.10	0.00	
12.00	924.72	36.81	187.10	0.00	
13.00	669.28	26.65	135.48	0.00	
14.00	465.55	18.55	94.29	0.00	
15.00	321.86	12.84	65.22	0.01	
16.00	232.27	9.29	47.06	0.01	
17.00	180.55	7.25	36.62	0.01	
18.00	148.30	5.97	30.12	0.02	
19.00	122.99	4.95	25.00	0.02	
20.00	100.13	4.02	20.37	0.03	
21.00	80.00	3.20	16.28	0.03	
22.00	64.01	2.56	13.00	0.04	
23.00	52.38	2.08	10.63	0.04	
24.00	44.39	1.73	8.98	0.05	
25.00	38.86	1.48	7.83	0.05	
26.00	34.73	1.33	7.01	0.06	
27.00	31.36	1.21	6.30	0.08	
28.00	28.26	1.10	5.64	0.09	
29.00	25.19	0.99	5.02	0.12	
30.00	22.21	0.87	4.36	0.18	
31.00	19.33	0.77	3.72	0.26	
32.00	16.58	0.68	3.11	0.39	
33.00	13.97	0.59	2.55	0.58	
34.00	11.52	0.52	2.06	0.89	
35.00	9.33	0.44	1.53	1.34	
36.00	7.25	0.38	1.12	2.01	
37.00	5.18	0.32	0.82	2.72	
38.00	3.42	0.25	0.55	3.59	
39.00	2.08	0.18	0.32	4.78	
40.00	1.16	0.12	0.19	6.35	
41.00	0.61	0.07	0.13	8.15	
42.00	0.39	0.05	0.08	9.96	
43.00	0.25	0.04	0.05	11.76	
44.00	0.13	0.02	0.04	14.26	
45.00	0.04	0.01	0.02	18.86	
46.00	0.01	0.00	0.01	26.75	
47.00	0.01	0.00	0.00	36.35	
48.00	0.40	0.02	0.06	41.00	
49.00	1.63	0.08	0.28	33.77	
50.00	3.64	0.19	0.57	20.34	
51.00	6.62	0.29	1.20	29.67	
52.00	3.05	0.15	0.56	79.19	
53.00	0.34	0.02	0.07	158.37	
54.00	0.01	0.00	0.00	212.16	
55.00	0.73	0.03	0.15	194.07	
56.00	9.63	0.38	1.95	116.76	
57.00	44.24	1.78	8.94	38.92	
58.00	117.10	4.71	23.76	7.53	
59.00	201.77	8.08	40.91	1.25	
60.00	283.02	11.30	57.34	0.20	
61.00	360.61	14.38	73.06	0.01	
62.00	435.78	17.37	88.28	0.00	
63.00	508.24	20.25	102.94	0.00	
64.00	577.31	23.00	116.89	0.00	
65.00	642.59	25.59	130.07	0.00	
66.00	704.31	28.05	142.58	0.00	
67.00	762.88	30.38	154.41	0.00	
68.00	818.12	32.58	165.59	0.00	
69.00	869.86	34.63	176.03	0.00	
70.00	917.74	36.54	185.71	0.00	
71.00	961.77	38.29	194.61	0.00	
72.00	1002.59	39.91	202.84	0.00	
73.00	1040.85	41.44	210.60	0.00	
74.00	1077.17	42.88	217.92	0.00	
75.00	1112.15	44.28	225.06	0.00	
76.00	1146.76	45.65	232.02	0.00	
77.00	1181.66	47.04	239.06	0.00	
78.00	1217.68	48.47	246.30	0.00	
79.00	1256.11	50.00	254.07	0.00	
80.00	1298.73	51.69	262.66	0.00	
81.00	1347.18	53.63	272.58	0.00	
82.00	1402.43	55.84	283.82	0.00	
83.00	1464.35	58.30	296.25	0.00	
84.00	1531.44	60.97	309.83	0.00	
85.00	1602.29	63.78	324.15	0.00	
86.00	1675.66	66.71	339.06	0.00	
87.00	1751.14	69.72	354.32	0.00	
88.00	1828.50	72.79	369.97	0.00	
89.00	1907.42	75.94	385.95	0.00	
90.00	1987.15	79.12	402.09	0.00	
91.00	2066.62	82.28	418.18	0.00	
92.00	2144.63	85.39	433.97	0.00	
93.00	2219.46	88.37	449.11	0.00	
94.00	2288.59	91.12	463.10	0.00	
95.00	2349.42	93.54	475.41	0.00	
96.00	2400.12	95.56	485.67	0.00	
97.00	2440.14	97.16	493.77	0.00	
98.00	2469.94	98.34	499.80	0.00	
99.00	2490.23	99.15	503.90	0.00	
100.00	2500.92	99.58	506.07	0.00	
