gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	5.99	0.31	1.02	6.28	
2.00	7.58	0.37	1.28	10.49	
3.00	1.63	0.07	0.26	67.71	
4.00	0.00	0.00	0.00	144.26	
5.00	0.00	0.00	0.00	176.16	
6.00	0.00	0.00	0.00	164.29	
7.00	0.00	0.00	0.00	133.20	
8.00	1.33	0.05	0.26	100.49	
9.00	7.84	0.32	1.59	73.02	
10.00	20.20	0.83	4.12	49.46	
11.00	42.57	1.71	8.65	34.37	
12.00	70.91	2.84	14.36	25.20	
13.00	101.80	4.09	20.61	20.36	
14.00	132.82	5.32	26.93	16.90	
15.00	163.82	6.56	33.22	13.47	
16.00	195.30	7.81	39.58	9.67	
17.00	227.97	9.11	46.18	6.50	
18.00	262.34	10.48	53.15	4.52	
19.00	298.13	11.89	60.42	3.15	
20.00	333.89	13.32	67.66	1.73	
21.00	367.82	14.68	74.52	0.44	
22.00	398.32	15.89	80.68	0.05	
23.00	425.47	16.96	86.18	0.01	
24.00	450.80	17.97	91.31	0.01	
25.00	475.22	18.95	96.25	0.01	
26.00	498.81	19.88	101.03	0.01	
27.00	522.02	20.80	105.70	0.00	
28.00	546.40	21.78	110.64	0.00	
29.00	574.33	22.88	116.29	0.00	
30.00	606.92	24.18	122.89	0.00	
31.00	643.77	25.64	130.34	0.00	
32.00	681.45	27.14	137.96	0.00	
33.00	717.62	28.58	145.27	0.00	
34.00	753.32	29.99	152.50	0.00	
35.00	789.81	31.45	159.87	0.00	
36.00	828.23	32.98	167.64	0.00	
37.00	869.63	34.63	176.01	0.00	
38.00	913.81	36.38	184.93	0.00	
39.00	959.45	38.20	194.16	0.00	
40.00	1005.39	40.03	203.46	0.00	
41.00	1052.28	41.88	212.86	0.00	
42.00	1099.82	43.78	222.45	0.00	
43.00	1147.94	45.70	232.27	0.00	
44.00	1195.93	47.61	241.98	0.00	
45.00	1243.22	49.50	251.59	0.00	
46.00	1291.77	51.43	261.38	0.00	
47.00	1343.79	53.51	271.99	0.00	
48.00	1399.40	55.71	283.18	0.00	
49.00	1456.47	57.98	294.69	0.00	
50.00	1511.91	60.19	305.90	0.00	
51.00	1561.59	62.17	315.94	0.00	
52.00	1600.55	63.73	323.85	0.00	
53.00	1624.52	64.70	328.71	0.00	
54.00	1633.27	65.02	330.45	0.00	
55.00	1629.24	64.87	329.69	0.00	
56.00	1615.23	64.30	326.82	0.00	
57.00	1591.56	63.37	322.08	0.00	
58.00	1558.12	62.04	315.29	0.00	
59.00	1514.58	60.31	306.48	0.00	
60.00	1461.03	58.17	295.66	0.00	
61.00	1399.71	55.73	283.24	0.00	
62.00	1332.15	53.02	269.42	0.00	
63.00	1255.26	49.97	253.90	0.00	
64.00	1166.58	46.45	236.07	0.00	
65.00	1065.66	42.41	215.54	0.00	
66.00	953.28	37.95	192.89	0.00	
67.00	833.56	33.18	168.63	0.00	
68.00	708.19	28.20	143.35	0.00	
69.00	578.12	23.03	117.06	0.00	
70.00	444.33	17.71	89.99	0.01	
71.00	313.82	12.52	63.61	0.01	
72.00	199.12	7.95	40.36	0.02	
73.00	112.27	4.48	22.74	0.05	
74.00	57.14	2.30	11.46	0.11	
75.00	27.79	1.14	5.47	0.36	
76.00	14.40	0.63	2.66	1.07	
77.00	8.56	0.42	1.54	2.13	
78.00	5.29	0.31	0.93	3.23	
79.00	3.16	0.22	0.46	4.32	
80.00	1.78	0.15	0.26	5.82	
81.00	0.94	0.10	0.16	7.57	
82.00	0.34	0.06	0.11	9.51	
83.00	0.10	0.03	0.06	11.68	
84.00	0.04	0.02	0.03	13.77	
85.00	0.00	0.01	0.00	15.46	
86.00	0.00	0.00	0.00	16.79	
87.00	0.00	0.00	0.00	18.08	
88.00	0.00	0.00	0.00	19.56	
89.00	0.00	0.00	0.00	21.05	
90.00	0.00	0.00	0.00	21.96	
91.00	0.00	0.00	0.00	22.27	
92.00	0.00	0.00	0.00	22.56	
93.00	0.00	0.00	0.00	22.99	
94.00	0.00	0.00	0.00	23.25	
95.00	0.00	0.00	0.00	23.77	
96.00	0.00	0.00	0.00	25.96	
97.00	0.00	0.00	0.00	31.12	
98.00	0.00	0.00	0.00	35.55	
99.00	0.49	0.04	0.08	26.62	
100.00	6.01	0.31	1.00	6.09	
