gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	406.62	16.22	82.36	0.01	
2.00	340.89	13.60	69.06	0.01	
3.00	278.75	11.11	56.47	0.02	
4.00	221.27	8.82	44.83	0.02	
5.00	169.64	6.76	34.38	0.03	
6.00	127.29	5.09	25.84	0.04	
7.00	94.93	3.80	19.27	0.04	
8.00	70.59	2.80	14.30	0.05	
9.00	53.33	2.10	10.79	0.05	
10.00	42.31	1.65	8.56	0.06	
11.00	35.73	1.39	7.22	0.07	
12.00	31.47	1.21	6.33	0.07	
13.00	28.64	1.10	5.73	0.08	
14.00	26.66	1.03	5.30	0.09	
15.00	25.18	0.97	4.96	0.10	
16.00	23.91	0.93	4.69	0.11	
17.00	22.73	0.89	4.44	0.12	
18.00	21.57	0.86	4.17	0.14	
19.00	20.31	0.81	3.88	0.17	
20.00	18.80	0.76	3.55	0.22	
21.00	17.06	0.71	3.21	0.31	
22.00	15.23	0.65	2.79	0.44	
23.00	13.30	0.59	2.39	0.65	
24.00	11.47	0.52	1.98	0.92	
25.00	9.74	0.47	1.63	1.25	
26.00	8.09	0.43	1.39	1.64	
27.00	6.77	0.37	1.11	2.14	
28.00	5.62	0.32	0.89	2.75	
29.00	4.51	0.28	0.72	3.42	
30.00	3.55	0.24	0.56	4.23	
31.00	2.70	0.20	0.46	5.19	
32.00	2.08	0.16	0.36	6.28	
33.00	1.61	0.13	0.28	7.40	
34.00	1.28	0.10	0.21	8.40	
35.00	1.02	0.09	0.16	9.22	
36.00	0.79	0.08	0.13	9.80	
37.00	0.62	0.07	0.11	10.24	
38.00	0.49	0.06	0.09	10.80	
39.00	0.36	0.05	0.07	11.96	
40.00	0.21	0.03	0.06	14.42	
41.00	0.07	0.02	0.03	19.24	
42.00	0.01	0.01	0.01	27.39	
43.00	0.00	0.00	0.00	38.88	
44.00	0.00	0.00	0.00	51.46	
45.00	0.08	0.00	0.02	60.27	
46.00	0.81	0.03	0.15	59.31	
47.00	5.62	0.23	1.11	43.37	
48.00	19.04	0.78	3.82	21.89	
49.00	40.92	1.65	8.25	6.22	
50.00	61.50	2.47	12.49	2.39	
51.00	66.62	2.68	13.53	4.54	
52.00	65.56	2.64	13.32	9.50	
53.00	78.37	3.16	15.90	10.72	
54.00	135.23	5.43	27.39	8.47	
55.00	244.20	9.76	49.47	3.48	
56.00	411.08	16.40	83.27	0.73	
57.00	611.93	24.37	123.88	0.00	
58.00	831.97	33.12	168.33	0.00	
59.00	1056.78	42.07	213.78	0.00	
60.00	1278.49	50.90	258.71	0.00	
61.00	1490.54	59.34	301.60	0.00	
62.00	1687.41	67.18	341.43	0.00	
63.00	1865.01	74.25	377.37	0.00	
64.00	2021.06	80.46	408.94	0.00	
65.00	2152.07	85.68	435.47	0.00	
66.00	2261.09	90.02	457.53	0.00	
67.00	2349.93	93.56	475.51	0.00	
68.00	2420.35	96.37	489.76	0.00	
69.00	2474.33	98.52	500.68	0.00	
70.00	2513.10	100.06	508.53	0.00	
71.00	2537.30	101.03	513.44	0.00	
72.00	2547.91	101.45	515.58	0.00	
73.00	2545.17	101.34	515.02	0.00	
74.00	2527.62	100.64	511.47	0.00	
75.00	2495.84	99.37	505.04	0.00	
76.00	2450.58	97.57	495.88	0.00	
77.00	2392.90	95.27	484.21	0.00	
78.00	2323.88	92.52	470.24	0.00	
79.00	2245.86	89.42	454.45	0.00	
80.00	2161.97	86.07	437.47	0.00	
81.00	2074.81	82.60	419.84	0.00	
82.00	1986.28	79.08	401.92	0.00	
83.00	1897.57	75.55	383.95	0.00	
84.00	1808.77	72.01	366.00	0.00	
85.00	1719.35	68.45	347.91	0.00	
86.00	1628.52	64.84	329.51	0.00	
87.00	1535.35	61.13	310.67	0.00	
88.00	1439.75	57.32	291.26	0.00	
89.00	1342.32	53.44	271.56	0.00	
90.00	1243.75	49.52	251.69	0.00	
91.00	1145.25	45.59	231.70	0.00	
92.00	1048.50	41.74	212.15	0.00	
93.00	954.42	38.00	193.11	0.00	
94.00	863.62	34.39	174.76	0.00	
95.00	776.57	30.92	157.16	0.00	
96.00	694.09	27.65	140.47	0.00	
97.00	615.93	24.54	124.70	0.00	
98.00	541.09	21.56	109.57	0.01	
99.00	469.34	18.71	95.05	0.01	
100.00	400.47	15.97	81.12	0.01	
