gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	1349.19	53.70	272.92	0.00	
2.00	1363.45	54.28	275.84	0.00	
3.00	1361.65	54.22	275.53	0.00	
4.00	1344.20	53.52	272.00	0.00	
5.00	1319.68	52.53	266.96	0.00	
6.00	1280.92	50.99	259.11	0.00	
7.00	1222.32	48.67	247.35	0.00	
8.00	1161.49	46.22	234.79	0.00	
9.00	1107.19	44.07	223.94	0.00	
10.00	1062.69	42.30	214.94	0.00	
11.00	1025.75	40.84	207.57	0.00	
12.00	994.09	39.59	201.23	0.00	
13.00	965.42	38.43	195.27	0.00	
14.00	940.86	37.45	190.31	0.00	
15.00	918.27	36.56	185.78	0.00	
16.00	893.97	35.60	180.94	0.00	
17.00	865.19	34.45	175.11	0.00	
18.00	830.28	33.05	167.96	0.00	
19.00	795.68	31.68	161.08	0.00	
20.00	759.38	30.25	153.73	0.00	
21.00	712.35	28.37	144.19	0.00	
22.00	649.62	25.87	131.51	0.00	
23.00	572.99	22.83	115.99	0.01	
24.00	481.19	19.18	97.40	0.03	
25.00	380.00	15.16	76.93	0.52	
26.00	280.17	11.21	56.68	0.99	
27.00	197.47	7.90	39.91	2.02	
28.00	142.74	5.73	28.82	4.11	
29.00	104.23	4.22	21.01	7.01	
30.00	70.16	2.84	14.10	9.37	
31.00	47.19	1.94	9.54	10.64	
32.00	27.15	1.12	5.55	12.76	
33.00	10.29	0.43	2.09	15.58	
34.00	1.74	0.07	0.35	18.64	
35.00	0.00	0.00	0.00	20.69	
36.00	0.00	0.00	0.00	21.78	
37.00	0.00	0.00	0.00	22.42	
38.00	0.00	0.00	0.00	23.10	
39.00	0.00	0.00	0.00	23.72	
40.00	0.00	0.00	0.00	24.18	
41.00	0.00	0.00	0.00	24.47	
42.00	0.00	0.00	0.00	24.78	
43.00	0.00	0.00	0.00	25.14	
44.00	0.00	0.00	0.00	25.50	
45.00	0.10	0.01	0.02	25.02	
46.00	1.87	0.08	0.36	22.80	
47.00	4.86	0.21	0.89	18.71	
48.00	5.94	0.25	1.10	24.04	
49.00	2.79	0.14	0.45	53.37	
50.00	2.26	0.10	0.45	98.53	
51.00	1.98	0.09	0.36	121.79	
52.00	0.68	0.03	0.09	142.99	
53.00	0.38	0.02	0.04	163.49	
54.00	0.00	0.00	0.00	173.27	
55.00	0.56	0.03	0.11	171.22	
56.00	3.20	0.13	0.65	167.96	
57.00	5.80	0.24	1.19	161.90	
58.00	8.98	0.36	1.80	152.98	
59.00	13.05	0.52	2.63	143.74	
60.00	18.54	0.75	3.76	132.71	
61.00	24.20	0.97	4.92	118.38	
62.00	28.83	1.16	5.83	101.93	
63.00	36.21	1.44	7.32	88.66	
64.00	46.09	1.86	9.32	75.57	
65.00	58.99	2.36	11.94	64.61	
66.00	74.67	2.99	15.14	54.21	
67.00	92.32	3.73	18.73	42.21	
68.00	112.34	4.51	22.79	33.05	
69.00	136.71	5.50	27.75	26.52	
70.00	166.20	6.66	33.73	22.28	
71.00	199.35	7.98	40.45	19.27	
72.00	234.88	9.41	47.61	16.21	
73.00	271.16	10.84	54.92	13.51	
74.00	307.62	12.27	62.33	12.31	
75.00	343.69	13.70	69.62	10.74	
76.00	383.57	15.30	77.69	9.39	
77.00	424.21	16.92	85.96	8.84	
78.00	464.82	18.54	94.18	8.59	
79.00	505.97	20.16	102.46	8.34	
80.00	543.52	21.65	110.04	7.60	
81.00	577.96	23.03	117.03	6.48	
82.00	617.15	24.58	124.90	5.70	
83.00	659.76	26.28	133.55	4.53	
84.00	699.64	27.86	141.55	1.58	
85.00	741.43	29.53	150.13	0.01	
86.00	786.66	31.32	159.21	0.00	
87.00	835.12	33.26	169.03	0.00	
88.00	884.02	35.19	178.83	0.00	
89.00	929.54	37.01	188.12	0.00	
90.00	973.07	38.74	196.87	0.00	
91.00	1015.45	40.43	205.54	0.00	
92.00	1063.52	42.35	215.28	0.00	
93.00	1115.62	44.42	225.72	0.00	
94.00	1158.57	46.13	234.48	0.00	
95.00	1191.07	47.42	240.98	0.00	
96.00	1220.15	48.58	246.84	0.00	
97.00	1254.18	49.93	253.79	0.00	
98.00	1291.42	51.41	261.30	0.00	
99.00	1317.64	52.45	266.56	0.00	
100.00	1336.57	53.20	270.39	0.00	
