gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
0.00	351.74	13.99	71.12	0.00	
0.00	347.08	13.82	70.22	0.00	
0.00	338.56	13.49	68.49	0.00	
0.00	328.86	13.10	66.54	0.00	
0.00	315.36	12.55	63.77	0.00	
0.00	298.17	11.87	60.31	0.00	
0.00	283.77	11.30	57.40	0.00	
0.00	269.12	10.70	54.36	0.00	
0.00	256.58	10.20	51.82	0.00	
0.00	248.26	9.87	50.17	0.00	
0.00	247.13	9.83	50.01	0.00	
0.00	244.48	9.73	49.47	0.00	
0.00	238.01	9.46	48.03	0.00	
0.00	233.83	9.30	47.22	0.00	
0.00	234.31	9.31	47.30	0.00	
0.00	238.93	9.51	48.32	0.00	
0.00	240.04	9.55	48.54	0.00	
0.00	238.70	9.49	48.14	0.00	
0.00	237.40	9.43	47.99	0.00	
0.00	240.49	9.56	48.62	0.00	
0.00	248.39	9.88	50.21	0.00	
0.00	267.94	10.65	54.13	0.00	
0.00	299.36	11.90	60.46	0.01	
0.00	321.56	12.79	65.11	0.09	
0.00	331.59	13.18	67.12	2.32	
0.00	327.98	13.03	66.45	4.24	
0.00	306.89	12.20	62.17	4.63	
0.00	276.63	10.99	56.03	6.76	
0.00	236.77	9.41	47.98	8.44	
0.00	192.90	7.67	39.11	9.42	
0.00	150.42	5.98	30.51	9.41	
0.00	97.91	3.90	19.84	8.61	
0.00	44.60	1.80	9.05	7.53	
0.00	8.33	0.32	1.64	6.30	
0.00	0.00	0.00	0.00	4.14	
0.00	0.00	0.00	0.00	2.87	
0.00	0.00	0.00	0.00	2.15	
0.00	0.00	0.00	0.00	1.88	
0.00	0.00	0.00	0.00	1.57	
0.00	0.00	0.00	0.00	1.24	
0.00	0.00	0.00	0.00	0.90	
0.00	0.00	0.00	0.00	1.00	
0.00	0.00	0.00	0.00	1.50	
0.00	0.00	0.00	0.00	1.50	
0.00	0.48	0.04	0.10	4.78	
0.00	6.09	0.23	1.17	9.22	
0.00	8.98	0.36	1.74	12.06	
0.00	8.01	0.33	1.55	26.28	
0.00	4.46	0.20	0.76	57.24	
0.00	6.01	0.25	1.22	71.33	
0.00	6.08	0.25	1.19	74.32	
0.00	2.33	0.12	0.35	61.45	
0.00	1.83	0.09	0.19	47.18	
0.00	0.00	0.00	0.00	36.17	
0.00	2.70	0.14	0.54	48.20	
0.00	15.34	0.64	3.13	51.32	
0.00	27.79	1.14	5.70	56.78	
0.00	39.82	1.59	8.06	63.95	
0.00	50.41	2.02	10.22	68.51	
0.00	62.52	2.50	12.67	68.98	
0.00	75.17	3.00	15.24	69.22	
0.00	84.04	3.35	17.05	72.88	
0.00	90.96	3.63	18.43	75.51	
0.00	99.32	3.97	20.17	76.51	
0.00	106.68	4.27	21.64	74.82	
0.00	115.43	4.61	23.40	69.83	
0.00	127.55	5.07	25.83	66.19	
0.00	137.52	5.48	27.84	63.38	
0.00	146.70	5.83	29.71	59.83	
0.00	158.30	6.29	32.06	55.93	
0.00	170.51	6.79	34.52	53.71	
0.00	182.63	7.26	36.97	51.16	
0.00	194.22	7.72	39.41	49.66	
0.00	205.35	8.17	41.56	48.42	
0.00	222.88	8.87	45.10	46.58	
0.00	244.60	9.73	49.52	44.82	
0.00	260.17	10.35	52.64	42.34	
0.00	272.99	10.86	55.24	41.18	
0.00	284.86	11.34	57.63	39.95	
0.00	298.87	11.89	60.48	36.42	
0.00	312.09	12.41	63.14	31.04	
0.00	321.85	12.80	65.02	27.33	
0.00	334.44	13.31	67.66	21.71	
0.00	345.98	13.75	69.87	7.55	
0.00	350.15	13.94	70.87	0.02	
0.00	350.05	13.92	70.74	0.00	
0.00	349.11	13.89	70.62	0.00	
0.00	347.14	13.80	70.11	0.00	
0.00	340.88	13.56	68.89	0.00	
0.00	339.36	13.48	68.49	0.00	
0.00	341.91	13.61	69.17	0.00	
0.00	345.94	13.78	70.07	0.00	
0.00	348.26	13.86	70.41	0.00	
0.00	346.94	13.81	70.17	0.00	
0.00	347.02	13.81	70.19	0.00	
0.00	350.22	13.96	70.90	0.00	
0.00	352.82	14.04	71.37	0.00	
0.00	354.66	14.12	71.74	0.00	
0.00	354.80	14.13	71.80	0.00	
0.00	354.77	14.11	71.73	0.00	
