gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
0.00	229.44	9.14	46.38	0.00	
0.00	217.42	8.65	43.95	0.00	
0.00	201.96	8.04	40.87	0.00	
0.00	186.13	7.41	37.65	0.00	
0.00	175.25	6.98	35.48	0.00	
0.00	169.83	6.76	34.37	0.00	
0.00	166.41	6.62	33.65	0.00	
0.00	162.97	6.49	32.93	0.00	
0.00	159.02	6.33	32.16	0.00	
0.00	153.98	6.14	31.16	0.00	
0.00	149.01	5.94	30.21	0.00	
0.00	147.04	5.86	29.82	0.00	
0.00	151.43	6.03	30.61	0.00	
0.00	162.66	6.47	32.88	0.00	
0.00	178.26	7.08	35.98	0.00	
0.00	194.84	7.73	39.28	0.00	
0.00	207.38	8.24	41.92	0.00	
0.00	211.39	8.40	42.75	0.01	
0.00	205.69	8.19	41.63	0.01	
0.00	191.30	7.62	38.76	0.02	
0.00	167.67	6.67	33.95	0.07	
0.00	131.60	5.24	26.67	0.20	
0.00	87.16	3.48	17.79	0.63	
0.00	45.83	1.83	9.44	1.95	
0.00	18.55	0.69	3.85	3.07	
0.00	8.99	0.32	1.83	3.83	
0.00	6.53	0.25	1.21	4.47	
0.00	5.30	0.23	0.87	5.04	
0.00	4.12	0.22	0.58	5.41	
0.00	2.83	0.18	0.34	5.84	
0.00	1.68	0.14	0.25	6.30	
0.00	0.84	0.10	0.18	6.52	
0.00	0.28	0.07	0.13	6.22	
0.00	0.04	0.03	0.03	5.68	
0.00	0.01	0.01	0.01	5.19	
0.00	0.00	0.00	0.00	4.72	
0.00	0.00	0.00	0.00	4.23	
0.00	0.00	0.01	0.00	3.75	
0.00	0.00	0.00	0.00	2.99	
0.00	0.00	0.00	0.00	2.22	
0.00	0.00	0.00	0.00	2.16	
0.00	0.00	0.00	0.00	2.21	
0.00	0.00	0.00	0.00	2.08	
0.00	0.00	0.00	0.00	2.50	
0.00	0.00	0.00	0.00	3.58	
0.00	0.52	0.04	0.05	5.21	
0.00	4.33	0.16	0.86	7.46	
0.00	2.73	0.12	0.49	10.75	
0.00	4.63	0.20	0.82	22.82	
0.00	5.20	0.21	1.00	32.45	
0.00	4.33	0.20	0.79	51.42	
0.00	5.77	0.24	1.08	67.51	
0.00	1.25	0.06	0.18	54.18	
0.00	0.00	0.00	0.00	34.01	
0.00	0.00	0.00	0.00	46.24	
0.00	1.50	0.07	0.27	57.75	
0.00	11.78	0.46	2.37	61.13	
0.00	30.57	1.23	6.22	58.65	
0.00	54.28	2.18	11.04	54.46	
0.00	77.95	3.12	15.84	51.09	
0.00	98.39	3.93	19.96	46.79	
0.00	115.86	4.62	23.49	42.21	
0.00	132.07	5.26	26.79	36.87	
0.00	147.81	5.89	29.95	31.25	
0.00	163.63	6.51	33.14	26.51	
0.00	179.09	7.13	36.27	21.78	
0.00	193.99	7.72	39.31	16.35	
0.00	206.62	8.21	41.83	10.31	
0.00	216.06	8.60	43.74	3.87	
0.00	221.29	8.79	44.85	0.40	
0.00	224.75	8.95	45.48	0.02	
0.00	228.37	9.10	46.22	0.01	
0.00	230.94	9.18	46.74	0.01	
0.00	231.80	9.20	46.89	0.01	
0.00	232.01	9.22	46.93	0.01	
0.00	232.18	9.23	46.97	0.01	
0.00	233.05	9.26	47.13	0.00	
0.00	235.30	9.36	47.60	0.00	
0.00	239.55	9.53	48.46	0.00	
0.00	244.75	9.73	49.47	0.00	
0.00	249.42	9.92	50.44	0.00	
0.00	253.86	10.10	51.34	0.00	
0.00	257.98	10.26	52.17	0.00	
0.00	259.94	10.34	52.58	0.00	
0.00	259.46	10.32	52.43	0.00	
0.00	258.54	10.29	52.28	0.00	
0.00	259.56	10.33	52.49	0.00	
0.00	262.62	10.45	53.12	0.00	
0.00	267.09	10.63	53.99	0.00	
0.00	271.15	10.79	54.79	0.00	
0.00	273.02	10.87	55.19	0.00	
0.00	272.08	10.83	55.04	0.00	
0.00	269.62	10.73	54.54	0.00	
0.00	266.23	10.60	53.89	0.00	
0.00	261.83	10.42	52.99	0.00	
0.00	255.94	10.20	51.85	0.00	
0.00	249.77	9.95	50.54	0.00	
0.00	243.93	9.72	49.40	0.00	
0.00	237.49	9.46	48.07	0.00	
0.00	228.89	9.12	46.27	0.00	
