gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	1518.33	60.46	307.25	0.00	
2.00	1545.64	61.55	312.76	0.00	
3.00	1560.13	62.11	315.68	0.00	
4.00	1562.51	62.22	316.22	0.00	
5.00	1553.48	61.85	314.31	0.00	
6.00	1533.55	61.05	310.30	0.00	
7.00	1503.76	59.87	304.27	0.00	
8.00	1463.27	58.27	296.12	0.00	
9.00	1413.10	56.27	285.97	0.00	
10.00	1356.17	54.00	274.44	0.00	
11.00	1293.39	51.50	261.73	0.00	
12.00	1222.68	48.67	247.36	0.00	
13.00	1139.82	45.36	230.47	0.00	
14.00	1042.34	41.50	210.88	0.00	
15.00	932.93	37.14	188.75	0.00	
16.00	816.08	32.48	165.09	0.00	
17.00	695.46	27.70	140.79	0.00	
18.00	573.81	22.86	116.19	0.00	
19.00	451.02	17.97	91.34	0.01	
20.00	328.24	13.09	66.50	0.01	
21.00	216.54	8.65	43.88	0.03	
22.00	130.49	5.22	26.44	0.07	
23.00	71.99	2.89	14.45	0.23	
24.00	36.62	1.51	7.23	0.61	
25.00	18.04	0.76	3.48	1.19	
26.00	9.81	0.45	1.79	2.03	
27.00	5.68	0.32	0.99	3.00	
28.00	3.43	0.22	0.58	4.15	
29.00	2.23	0.15	0.33	5.63	
30.00	1.34	0.11	0.20	7.37	
31.00	0.65	0.08	0.13	9.22	
32.00	0.26	0.04	0.08	11.28	
33.00	0.08	0.03	0.04	13.24	
34.00	0.02	0.01	0.01	14.77	
35.00	0.00	0.01	0.00	16.05	
36.00	0.00	0.00	0.00	17.30	
37.00	0.00	0.00	0.00	18.45	
38.00	0.00	0.00	0.00	19.49	
39.00	0.00	0.00	0.00	20.51	
40.00	0.00	0.00	0.00	21.33	
41.00	0.00	0.00	0.00	21.81	
42.00	0.00	0.00	0.00	22.08	
43.00	0.00	0.00	0.00	22.46	
44.00	0.00	0.00	0.00	23.25	
45.00	0.00	0.00	0.00	24.81	
46.00	0.09	0.01	0.01	26.96	
47.00	0.80	0.03	0.16	28.91	
48.00	1.02	0.05	0.16	26.36	
49.00	3.31	0.17	0.55	21.09	
50.00	3.90	0.20	0.69	23.16	
51.00	3.65	0.19	0.64	52.15	
52.00	2.70	0.12	0.45	99.31	
53.00	0.31	0.02	0.04	139.08	
54.00	0.00	0.00	0.00	155.12	
55.00	0.00	0.00	0.00	142.88	
56.00	0.45	0.02	0.08	114.37	
57.00	5.08	0.21	1.03	85.26	
58.00	17.80	0.72	3.61	64.11	
59.00	37.32	1.51	7.58	48.73	
60.00	60.76	2.45	12.32	36.96	
61.00	86.92	3.48	17.60	29.22	
62.00	114.77	4.59	23.24	23.87	
63.00	144.15	5.78	29.21	19.31	
64.00	174.98	7.00	35.48	15.19	
65.00	206.95	8.27	41.93	11.56	
66.00	239.69	9.57	48.57	8.78	
67.00	271.72	10.85	55.05	5.99	
68.00	303.28	12.11	61.45	3.50	
69.00	334.24	13.33	67.70	1.19	
70.00	363.73	14.51	73.64	0.11	
71.00	391.62	15.61	79.32	0.01	
72.00	418.06	16.65	84.67	0.01	
73.00	442.93	17.66	89.71	0.01	
74.00	466.04	18.59	94.40	0.01	
75.00	488.14	19.46	98.85	0.01	
76.00	510.57	20.35	103.39	0.00	
77.00	535.13	21.33	108.37	0.00	
78.00	563.73	22.46	114.16	0.00	
79.00	596.70	23.77	120.82	0.00	
80.00	631.57	25.15	127.84	0.00	
81.00	666.34	26.54	134.91	0.00	
82.00	701.27	27.93	141.97	0.00	
83.00	736.10	29.31	148.99	0.00	
84.00	769.58	30.64	155.77	0.00	
85.00	804.63	32.04	162.85	0.00	
86.00	844.21	33.62	170.88	0.00	
87.00	886.53	35.30	179.42	0.00	
88.00	928.47	36.96	187.90	0.00	
89.00	971.16	38.66	196.49	0.00	
90.00	1017.08	40.49	205.75	0.00	
91.00	1064.81	42.39	215.43	0.00	
92.00	1111.85	44.27	224.97	0.00	
93.00	1158.73	46.13	234.42	0.00	
94.00	1207.77	48.09	244.45	0.00	
95.00	1259.46	50.14	254.86	0.00	
96.00	1313.93	52.31	265.91	0.00	
97.00	1371.11	54.58	277.39	0.00	
98.00	1427.06	56.81	288.67	0.00	
99.00	1477.07	58.81	298.84	0.00	
100.00	1517.38	60.43	307.06	0.00	
