gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	38.60	1.51	7.72	0.08	
2.00	31.82	1.24	6.31	0.10	
3.00	26.95	1.06	5.29	0.15	
4.00	23.58	0.93	4.58	0.21	
5.00	21.34	0.85	4.12	0.27	
6.00	20.07	0.80	3.86	0.31	
7.00	19.61	0.79	3.76	0.32	
8.00	19.67	0.79	3.78	0.29	
9.00	20.14	0.81	3.89	0.26	
10.00	20.85	0.83	4.03	0.21	
11.00	21.48	0.85	4.15	0.17	
12.00	21.74	0.86	4.20	0.15	
13.00	21.63	0.85	4.17	0.14	
14.00	21.16	0.84	4.05	0.14	
15.00	20.38	0.81	3.89	0.15	
16.00	19.56	0.78	3.66	0.16	
17.00	18.69	0.75	3.49	0.18	
18.00	17.82	0.73	3.29	0.20	
19.00	16.86	0.70	3.09	0.23	
20.00	15.69	0.66	2.85	0.29	
21.00	14.29	0.62	2.56	0.36	
22.00	12.71	0.59	2.22	0.46	
23.00	10.99	0.55	1.87	0.62	
24.00	9.30	0.48	1.51	0.87	
25.00	7.71	0.43	1.21	1.30	
26.00	6.23	0.38	0.98	1.86	
27.00	4.93	0.32	0.75	2.56	
28.00	3.78	0.28	0.58	3.39	
29.00	2.79	0.23	0.44	4.32	
30.00	1.98	0.18	0.34	5.34	
31.00	1.37	0.14	0.26	6.46	
32.00	0.94	0.11	0.19	7.61	
33.00	0.63	0.08	0.15	8.75	
34.00	0.43	0.06	0.11	9.87	
35.00	0.32	0.05	0.08	10.93	
36.00	0.26	0.04	0.06	11.89	
37.00	0.21	0.03	0.05	12.72	
38.00	0.15	0.02	0.04	13.40	
39.00	0.10	0.02	0.03	14.09	
40.00	0.07	0.02	0.02	15.06	
41.00	0.04	0.01	0.01	16.81	
42.00	0.01	0.00	0.01	20.28	
43.00	0.00	0.00	0.00	26.66	
44.00	0.00	0.00	0.00	36.64	
45.00	0.00	0.00	0.00	50.23	
46.00	0.00	0.00	0.00	64.99	
47.00	0.10	0.00	0.02	73.41	
48.00	1.22	0.05	0.23	68.83	
49.00	6.85	0.28	1.35	47.01	
50.00	22.67	0.90	4.57	20.56	
51.00	45.98	1.84	9.33	5.70	
52.00	56.53	2.27	11.46	5.25	
53.00	49.71	2.01	10.07	15.00	
54.00	41.58	1.68	8.40	24.77	
55.00	62.72	2.53	12.70	18.59	
56.00	175.24	7.01	35.52	6.29	
57.00	384.41	15.33	77.87	2.00	
58.00	674.83	26.88	136.61	0.83	
59.00	1010.02	40.22	204.38	0.00	
60.00	1360.76	54.17	275.34	0.00	
61.00	1701.74	67.75	344.34	0.00	
62.00	2017.59	80.33	408.25	0.00	
63.00	2297.50	91.47	464.89	0.00	
64.00	2537.36	101.03	513.44	0.00	
65.00	2730.31	108.71	552.49	0.00	
66.00	2883.20	114.80	583.43	0.00	
67.00	2999.69	119.43	607.00	0.00	
68.00	3082.12	122.71	623.67	0.00	
69.00	3135.35	124.83	634.44	0.00	
70.00	3162.49	125.91	639.93	0.00	
71.00	3165.91	126.05	640.63	0.00	
72.00	3147.38	125.31	636.88	0.00	
73.00	3106.78	123.70	628.67	0.00	
74.00	3042.39	121.13	615.64	0.00	
75.00	2957.64	117.76	598.49	0.00	
76.00	2854.91	113.67	577.70	0.00	
77.00	2736.81	108.97	553.79	0.00	
78.00	2607.37	103.82	527.60	0.00	
79.00	2471.68	98.41	500.15	0.00	
80.00	2332.38	92.86	471.96	0.00	
81.00	2189.65	87.18	443.07	0.00	
82.00	2041.74	81.29	413.14	0.00	
83.00	1883.34	74.99	381.09	0.00	
84.00	1712.50	68.18	346.52	0.00	
85.00	1529.42	60.89	309.46	0.00	
86.00	1334.91	53.15	270.09	0.00	
87.00	1133.65	45.13	229.36	0.00	
88.00	936.89	37.30	189.58	0.00	
89.00	752.56	29.97	152.33	0.00	
90.00	586.20	23.35	118.70	0.00	
91.00	444.79	17.73	90.09	0.00	
92.00	336.04	13.41	68.08	0.01	
93.00	251.57	10.06	50.99	0.01	
94.00	187.32	7.52	38.01	0.02	
95.00	139.87	5.64	28.44	0.02	
96.00	106.82	4.31	21.75	0.03	
97.00	82.42	3.32	16.78	0.03	
98.00	63.57	2.55	12.92	0.05	
99.00	49.26	1.95	9.94	0.06	
100.00	38.67	1.51	7.74	0.08	
