gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	228.30	9.14	46.29	0.02	
2.00	232.25	9.29	47.02	0.02	
3.00	232.05	9.29	47.01	0.01	
4.00	227.64	9.10	46.13	0.01	
5.00	225.40	9.03	45.73	0.02	
6.00	224.70	8.98	45.58	0.02	
7.00	223.52	8.94	45.34	0.02	
8.00	224.07	8.96	45.48	0.02	
9.00	229.73	9.18	46.60	0.02	
10.00	241.20	9.65	48.92	0.02	
11.00	258.56	10.32	52.38	0.02	
12.00	276.77	11.03	56.05	0.01	
13.00	303.58	12.14	61.51	0.01	
14.00	347.90	13.91	70.52	0.01	
15.00	398.26	15.89	80.70	0.01	
16.00	452.65	18.05	91.70	0.01	
17.00	517.68	20.65	104.80	0.01	
18.00	582.30	23.19	117.88	0.00	
19.00	635.93	25.33	128.75	0.00	
20.00	690.83	27.49	139.64	0.00	
21.00	757.57	30.17	153.35	0.00	
22.00	834.39	33.23	168.93	0.00	
23.00	912.40	36.34	184.68	0.00	
24.00	990.14	39.42	200.42	0.00	
25.00	1077.27	42.90	218.03	0.00	
26.00	1178.22	46.91	238.41	0.00	
27.00	1270.36	50.57	257.05	0.00	
28.00	1342.62	53.46	271.68	0.00	
29.00	1398.00	55.69	283.07	0.00	
30.00	1437.96	57.28	291.15	0.00	
31.00	1460.08	58.16	295.69	0.00	
32.00	1463.03	58.24	296.01	0.00	
33.00	1440.43	57.36	291.62	0.00	
34.00	1413.40	56.30	286.18	0.00	
35.00	1399.20	55.71	283.13	0.00	
36.00	1393.97	55.51	282.03	0.11	
37.00	1399.29	55.72	283.18	1.30	
38.00	1389.26	55.31	281.09	2.18	
39.00	1324.28	52.72	267.95	2.72	
40.00	1233.63	49.13	249.66	2.96	
41.00	1135.15	45.21	229.61	2.94	
42.00	967.91	38.54	195.86	3.41	
43.00	727.17	28.94	146.89	4.24	
44.00	473.81	18.90	95.86	4.89	
45.00	299.16	11.94	60.59	6.11	
46.00	198.54	7.93	40.04	8.55	
47.00	121.24	4.82	24.46	13.04	
48.00	55.68	2.25	11.21	15.62	
49.00	19.82	0.80	4.04	17.46	
50.00	6.71	0.27	1.37	19.73	
51.00	2.24	0.10	0.42	19.33	
52.00	11.85	0.51	2.45	15.12	
53.00	66.39	2.65	13.45	21.75	
54.00	153.77	6.12	31.12	20.83	
55.00	330.86	13.17	66.95	17.42	
56.00	552.10	21.99	111.75	13.37	
57.00	699.69	27.86	141.60	19.50	
58.00	780.40	31.11	157.83	9.96	
59.00	901.77	35.91	182.48	9.56	
60.00	1087.74	43.31	220.10	2.12	
61.00	1285.24	51.17	260.02	3.76	
62.00	1323.46	52.69	267.81	6.80	
63.00	1249.68	49.75	252.77	0.77	
64.00	1200.46	47.80	242.98	0.00	
65.00	1219.09	48.54	246.70	0.00	
66.00	1209.39	48.13	244.60	0.00	
67.00	1131.78	45.05	229.00	0.00	
68.00	1062.59	42.31	215.01	0.00	
69.00	986.21	39.26	199.57	0.00	
70.00	897.31	35.73	181.55	0.00	
71.00	822.33	32.76	166.47	0.00	
72.00	763.22	30.40	154.50	0.00	
73.00	717.27	28.56	145.17	0.01	
74.00	672.78	26.78	136.18	0.00	
75.00	634.39	25.28	128.42	0.11	
76.00	608.84	24.25	123.27	2.44	
77.00	588.39	23.44	119.15	5.76	
78.00	570.22	22.71	115.48	8.75	
79.00	559.99	22.31	113.42	11.26	
80.00	552.03	21.99	111.77	13.18	
81.00	543.59	21.65	110.04	14.66	
82.00	540.67	21.53	109.47	15.76	
83.00	535.49	21.33	108.43	16.24	
84.00	528.17	21.04	106.95	16.48	
85.00	517.00	20.59	104.71	16.82	
86.00	502.59	20.02	101.76	17.01	
87.00	493.87	19.68	100.04	16.86	
88.00	484.09	19.29	98.05	16.36	
89.00	474.98	18.93	96.22	15.73	
90.00	468.28	18.65	94.85	15.14	
91.00	465.25	18.54	94.23	14.21	
92.00	465.69	18.56	94.34	12.57	
93.00	459.55	18.30	93.06	10.35	
94.00	450.91	17.97	91.36	8.38	
95.00	446.49	17.81	90.51	6.52	
96.00	444.40	17.71	90.05	4.37	
97.00	436.50	17.41	88.49	1.67	
98.00	424.28	16.92	85.88	0.06	
99.00	412.45	16.42	83.52	0.01	
100.00	402.48	16.03	81.51	0.01	
