gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	2239.12	89.15	453.09	0.00	
2.00	2275.22	90.59	460.39	0.00	
3.00	2299.22	91.54	465.25	0.00	
4.00	2309.98	91.97	467.43	0.00	
5.00	2304.87	91.76	466.40	0.00	
6.00	2279.83	90.77	461.33	0.00	
7.00	2229.17	88.75	451.08	0.00	
8.00	2148.35	85.53	434.72	0.00	
9.00	2034.27	80.99	411.63	0.00	
10.00	1884.34	75.02	381.29	0.00	
11.00	1697.71	67.60	343.54	0.00	
12.00	1477.77	58.84	299.03	0.00	
13.00	1235.63	49.18	250.00	0.00	
14.00	987.44	39.31	199.79	0.00	
15.00	749.08	29.83	151.65	0.00	
16.00	535.58	21.34	108.45	0.00	
17.00	361.78	14.43	73.28	0.01	
18.00	236.63	9.47	47.97	0.01	
19.00	156.40	6.29	31.78	0.02	
20.00	107.69	4.35	21.93	0.03	
21.00	76.89	3.10	15.66	0.04	
22.00	56.62	2.25	11.50	0.04	
23.00	43.66	1.70	8.78	0.06	
24.00	35.80	1.38	7.17	0.07	
25.00	30.96	1.20	6.20	0.09	
26.00	27.44	1.06	5.49	0.11	
27.00	24.28	0.95	4.81	0.14	
28.00	21.12	0.84	4.13	0.21	
29.00	18.08	0.74	3.49	0.45	
30.00	15.55	0.63	2.84	0.95	
31.00	13.27	0.56	2.32	1.46	
32.00	11.16	0.50	1.91	1.80	
33.00	9.23	0.46	1.52	2.08	
34.00	7.31	0.41	1.19	2.43	
35.00	5.53	0.34	0.84	3.04	
36.00	3.99	0.26	0.57	4.09	
37.00	2.75	0.20	0.41	5.53	
38.00	1.72	0.16	0.30	7.06	
39.00	1.02	0.11	0.19	8.64	
40.00	0.56	0.08	0.12	10.33	
41.00	0.25	0.05	0.08	12.05	
42.00	0.11	0.03	0.04	13.81	
43.00	0.06	0.02	0.02	15.41	
44.00	0.03	0.01	0.02	16.68	
45.00	0.01	0.01	0.01	18.01	
46.00	0.00	0.00	0.00	20.68	
47.00	0.01	0.00	0.01	26.20	
48.00	0.00	0.00	0.00	34.03	
49.00	0.06	0.01	0.01	39.09	
50.00	0.24	0.02	0.04	34.99	
51.00	1.25	0.09	0.17	24.92	
52.00	2.75	0.16	0.44	29.04	
53.00	2.71	0.13	0.43	64.79	
54.00	1.11	0.05	0.20	125.73	
55.00	0.17	0.01	0.02	175.83	
56.00	0.01	0.00	0.00	181.31	
57.00	1.41	0.06	0.29	138.69	
58.00	9.73	0.40	1.94	78.33	
59.00	31.24	1.26	6.31	30.92	
60.00	66.70	2.69	13.51	7.66	
61.00	110.04	4.44	22.30	0.95	
62.00	154.67	6.19	31.38	0.07	
63.00	197.30	7.90	40.02	0.02	
64.00	236.89	9.48	48.03	0.02	
65.00	272.97	10.91	55.33	0.01	
66.00	305.35	12.19	61.87	0.01	
67.00	334.59	13.35	67.80	0.01	
68.00	361.58	14.43	73.26	0.01	
69.00	387.68	15.46	78.54	0.01	
70.00	414.17	16.52	83.90	0.01	
71.00	441.54	17.61	89.46	0.01	
72.00	469.61	18.72	95.13	0.00	
73.00	497.95	19.85	100.86	0.00	
74.00	526.70	20.99	106.63	0.00	
75.00	556.07	22.16	112.60	0.00	
76.00	586.92	23.38	118.85	0.00	
77.00	620.16	24.71	125.58	0.00	
78.00	656.58	26.15	132.94	0.00	
79.00	696.49	27.75	141.03	0.00	
80.00	740.09	29.48	149.87	0.00	
81.00	787.63	31.37	159.43	0.00	
82.00	839.16	33.41	169.82	0.00	
83.00	894.77	35.62	181.05	0.00	
84.00	954.44	37.99	193.11	0.00	
85.00	1017.96	40.53	205.98	0.00	
86.00	1085.38	43.21	219.65	0.00	
87.00	1156.96	46.06	234.11	0.00	
88.00	1232.89	49.08	249.46	0.00	
89.00	1313.02	52.26	265.66	0.00	
90.00	1397.03	55.62	282.67	0.00	
91.00	1485.15	59.13	300.50	0.00	
92.00	1577.34	62.79	319.13	0.00	
93.00	1673.22	66.61	338.54	0.00	
94.00	1772.07	70.55	358.58	0.00	
95.00	1871.57	74.51	378.72	0.00	
96.00	1966.93	78.31	397.99	0.00	
97.00	2053.77	81.76	415.57	0.00	
98.00	2129.24	84.77	430.85	0.00	
99.00	2191.94	87.27	443.54	0.00	
100.00	2241.76	89.25	453.62	0.00	
