gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	435.67	17.37	88.24	0.01	
2.00	365.24	14.57	73.99	0.01	
3.00	298.66	11.91	60.51	0.02	
4.00	237.08	9.45	48.04	0.02	
5.00	181.75	7.25	36.84	0.03	
6.00	136.38	5.46	27.69	0.04	
7.00	101.72	4.07	20.64	0.05	
8.00	75.63	3.00	15.32	0.05	
9.00	57.14	2.24	11.56	0.06	
10.00	45.33	1.77	9.17	0.06	
11.00	38.29	1.49	7.74	0.07	
12.00	33.71	1.30	6.78	0.08	
13.00	30.68	1.18	6.14	0.09	
14.00	28.57	1.11	5.67	0.10	
15.00	26.98	1.04	5.32	0.11	
16.00	25.62	1.00	5.03	0.12	
17.00	24.35	0.95	4.76	0.13	
18.00	23.11	0.92	4.47	0.15	
19.00	21.76	0.87	4.16	0.18	
20.00	20.14	0.81	3.81	0.24	
21.00	18.28	0.76	3.43	0.33	
22.00	16.32	0.70	2.99	0.47	
23.00	14.25	0.63	2.56	0.70	
24.00	12.29	0.56	2.12	0.99	
25.00	10.43	0.50	1.75	1.34	
26.00	8.66	0.46	1.49	1.76	
27.00	7.26	0.40	1.19	2.29	
28.00	6.02	0.34	0.95	2.94	
29.00	4.84	0.30	0.77	3.67	
30.00	3.80	0.25	0.60	4.53	
31.00	2.89	0.21	0.49	5.56	
32.00	2.23	0.17	0.38	6.73	
33.00	1.73	0.14	0.30	7.92	
34.00	1.37	0.11	0.22	9.00	
35.00	1.09	0.09	0.17	9.87	
36.00	0.84	0.08	0.14	10.50	
37.00	0.67	0.07	0.12	10.98	
38.00	0.53	0.06	0.09	11.57	
39.00	0.39	0.05	0.07	12.82	
40.00	0.22	0.04	0.06	15.45	
41.00	0.07	0.02	0.04	20.61	
42.00	0.01	0.01	0.01	29.35	
43.00	0.00	0.00	0.00	41.66	
44.00	0.00	0.00	0.00	55.14	
45.00	0.08	0.01	0.02	64.58	
46.00	0.86	0.04	0.16	63.54	
47.00	6.02	0.25	1.19	46.47	
48.00	20.40	0.84	4.09	23.45	
49.00	43.85	1.76	8.84	6.66	
50.00	65.89	2.65	13.38	2.56	
51.00	71.38	2.87	14.50	4.86	
52.00	70.24	2.83	14.27	10.18	
53.00	83.97	3.39	17.04	11.49	
54.00	144.89	5.82	29.35	9.07	
55.00	261.64	10.46	53.00	3.73	
56.00	440.44	17.57	89.21	0.78	
57.00	655.64	26.12	132.73	0.00	
58.00	891.40	35.48	180.35	0.00	
59.00	1132.27	45.07	229.05	0.00	
60.00	1369.81	54.54	277.19	0.00	
61.00	1597.01	63.58	323.14	0.00	
62.00	1807.94	71.98	365.82	0.00	
63.00	1998.22	79.56	404.32	0.00	
64.00	2165.42	86.21	438.15	0.00	
65.00	2305.79	91.80	466.57	0.00	
66.00	2422.60	96.45	490.21	0.00	
67.00	2517.78	100.25	509.47	0.00	
68.00	2593.23	103.25	524.74	0.00	
69.00	2651.07	105.56	536.45	0.00	
70.00	2692.60	107.21	544.85	0.00	
71.00	2718.54	108.24	550.11	0.00	
72.00	2729.90	108.70	552.41	0.00	
73.00	2726.97	108.58	551.81	0.00	
74.00	2708.16	107.83	548.00	0.00	
75.00	2674.12	106.47	541.12	0.00	
76.00	2625.62	104.54	531.30	0.00	
77.00	2563.82	102.08	518.80	0.00	
78.00	2489.87	99.13	503.83	0.00	
79.00	2406.27	95.80	486.91	0.00	
80.00	2316.40	92.22	468.72	0.00	
81.00	2223.01	88.51	449.83	0.00	
82.00	2128.16	84.73	430.63	0.00	
83.00	2033.11	80.94	411.38	0.00	
84.00	1937.97	77.16	392.14	0.00	
85.00	1842.16	73.34	372.76	0.00	
86.00	1744.84	69.47	353.05	0.00	
87.00	1645.02	65.50	332.86	0.00	
88.00	1542.58	61.41	312.07	0.00	
89.00	1438.20	57.25	290.95	0.00	
90.00	1332.59	53.05	269.66	0.00	
91.00	1227.05	48.85	248.25	0.00	
92.00	1123.40	44.72	227.30	0.00	
93.00	1022.59	40.71	206.90	0.00	
94.00	925.31	36.84	187.25	0.00	
95.00	832.04	33.13	168.39	0.00	
96.00	743.67	29.62	150.51	0.00	
97.00	659.92	26.29	133.60	0.00	
98.00	579.74	23.10	117.40	0.01	
99.00	502.87	20.05	101.84	0.01	
100.00	429.07	17.11	86.91	0.01	
