gaitPhase	soleus_r	med_gas_r	lat_gas_r	tib_ant_r	
1.00	37.02	1.48	7.48	9.63	
2.00	62.48	2.51	12.70	3.42	
3.00	61.82	2.49	12.54	7.56	
4.00	48.74	1.97	9.85	18.03	
5.00	43.23	1.75	8.74	27.15	
6.00	94.57	3.80	19.14	16.44	
7.00	267.29	10.67	54.16	6.68	
8.00	529.72	21.11	107.27	1.91	
9.00	858.11	34.17	173.67	0.00	
10.00	1225.58	48.79	247.97	0.00	
11.00	1596.54	63.57	323.04	0.00	
12.00	1946.89	77.51	393.94	0.00	
13.00	2267.09	90.26	458.72	0.00	
14.00	2549.55	101.51	515.91	0.00	
15.00	2783.92	110.85	563.34	0.00	
16.00	2968.94	118.21	600.78	0.00	
17.00	3113.59	123.97	630.05	0.00	
18.00	3223.03	128.33	652.19	0.00	
19.00	3299.33	131.36	667.62	0.00	
20.00	3343.38	133.11	676.54	0.00	
21.00	3360.88	133.81	680.08	0.00	
22.00	3355.05	133.58	678.90	0.00	
23.00	3326.43	132.44	673.11	0.00	
24.00	3273.56	130.34	662.41	0.00	
25.00	3196.44	127.27	646.81	0.00	
26.00	3097.80	123.34	626.85	0.00	
27.00	2981.10	118.70	603.23	0.00	
28.00	2850.21	113.49	576.74	0.00	
29.00	2708.90	107.86	548.14	0.00	
30.00	2562.42	102.03	518.50	0.00	
31.00	2412.73	96.06	488.21	0.00	
32.00	2258.79	89.93	457.06	0.00	
33.00	2097.51	83.51	424.42	0.00	
34.00	1925.07	76.65	389.53	0.00	
35.00	1738.12	69.21	351.71	0.00	
36.00	1537.70	61.22	311.13	0.00	
37.00	1327.36	52.84	268.56	0.00	
38.00	1114.92	44.38	225.57	0.00	
39.00	909.98	36.23	184.16	0.00	
40.00	722.16	28.76	146.21	0.00	
41.00	558.21	22.24	113.04	0.00	
42.00	422.95	16.86	85.68	0.01	
43.00	316.37	12.64	64.12	0.01	
44.00	235.46	9.43	47.73	0.01	
45.00	176.40	7.09	35.82	0.02	
46.00	132.65	5.35	26.99	0.02	
47.00	101.31	4.09	20.63	0.03	
48.00	77.36	3.12	15.75	0.04	
49.00	59.91	2.39	12.16	0.05	
50.00	46.90	1.84	9.46	0.07	
51.00	37.57	1.46	7.51	0.09	
52.00	31.10	1.21	6.15	0.12	
53.00	26.66	1.05	5.20	0.16	
54.00	23.74	0.94	4.60	0.20	
55.00	21.82	0.87	4.20	0.23	
56.00	20.83	0.83	4.00	0.24	
57.00	20.46	0.83	3.95	0.24	
58.00	20.74	0.84	4.00	0.22	
59.00	21.39	0.86	4.13	0.20	
60.00	22.16	0.88	4.26	0.18	
61.00	22.72	0.90	4.37	0.16	
62.00	22.92	0.91	4.40	0.15	
63.00	22.70	0.90	4.34	0.14	
64.00	22.12	0.88	4.22	0.15	
65.00	21.32	0.85	4.04	0.16	
66.00	20.42	0.82	3.84	0.16	
67.00	19.48	0.78	3.61	0.17	
68.00	18.42	0.76	3.41	0.19	
69.00	17.22	0.72	3.17	0.21	
70.00	15.82	0.68	2.89	0.26	
71.00	14.23	0.64	2.56	0.34	
72.00	12.53	0.60	2.19	0.48	
73.00	10.76	0.54	1.82	0.72	
74.00	9.06	0.48	1.47	1.14	
75.00	7.48	0.42	1.16	1.71	
76.00	5.99	0.37	0.88	2.41	
77.00	4.61	0.32	0.67	3.21	
78.00	3.46	0.27	0.52	4.18	
79.00	2.48	0.22	0.39	5.22	
80.00	1.67	0.17	0.30	6.32	
81.00	1.03	0.13	0.22	7.44	
82.00	0.63	0.09	0.15	8.64	
83.00	0.36	0.06	0.11	9.88	
84.00	0.17	0.04	0.08	11.04	
85.00	0.06	0.03	0.05	12.13	
86.00	0.04	0.02	0.03	13.15	
87.00	0.03	0.02	0.03	14.00	
88.00	0.03	0.02	0.02	14.72	
89.00	0.02	0.01	0.02	15.52	
90.00	0.01	0.01	0.01	16.72	
91.00	0.01	0.01	0.01	18.88	
92.00	0.01	0.00	0.01	23.76	
93.00	0.00	0.00	0.00	32.24	
94.00	0.00	0.00	0.00	44.44	
95.00	0.00	0.00	0.00	59.80	
96.00	0.00	0.00	0.00	75.18	
97.00	0.20	0.01	0.04	78.43	
98.00	2.81	0.12	0.55	64.52	
99.00	12.66	0.51	2.53	38.40	
100.00	36.21	1.44	7.32	10.61	
